plan_day,block_index,charge_kwh,discharge_kwh
2025-02-01,0,7293.344166666667,1.5249333333333652
2025-02-01,1,578.1501446296306,6628.931233333333
2025-02-01,2,5737.758823333334,677.7272833333334
2025-02-01,3,3282.8076632921807,165.63499711933957
2025-02-01,4,127.01654333333312,5829.633570102881
2025-02-01,5,2804.948012503425,2240.874425377779
2025-02-02,0,6889.36201866941,14.06916666666666
2025-02-02,1,1320.8804379629669,1499.622941666666
2025-02-02,2,5951.783061666667,6379.700968333333
2025-02-02,3,4495.125954794242,1373.0949183333332
2025-02-02,4,35.36134979423865,5337.461982730041
2025-02-02,5,3836.8835499999996,2838.177981499999
2025-02-03,0,6043.1726378148605,0.0
2025-02-03,1,1253.8754244032934,1527.6827516666658
2025-02-03,2,5770.679583333334,6596.173783333333
2025-02-03,3,5344.084978395056,1735.1434283333333
2025-02-03,4,132.0713716666662,5325.407284807446
2025-02-03,5,3700.890928292181,2878.42025685922
2025-02-04,0,5956.42536024691,0.0
2025-02-04,1,1118.885860390947,1406.1814900166646
2025-02-04,2,5894.623676666667,6962.183743333332
2025-02-04,3,5954.046269197539,2295.855339999999
2025-02-04,4,135.95789333333357,5185.367571666666
2025-02-04,5,3678.8476333333333,2850.9859583333327
2025-02-05,0,6004.18056639916,0.0
2025-02-05,1,1613.4928803086393,1594.826364583334
2025-02-05,2,5832.760036666667,7063.398030000001
2025-02-05,3,5828.285926296301,1626.575456597222
2025-02-05,4,70.13723854166676,5896.0150470138915
2025-02-05,5,3706.573041709399,2622.2377461722167
2025-02-06,0,6061.5032890419525,0.0
2025-02-06,1,1699.9009001514196,1598.7357537999997
2025-02-06,2,5909.179791666667,6231.678559716664
2025-02-06,3,5117.512773055549,1914.128444583334
2025-02-06,4,128.9190925694444,5554.910049831249
2025-02-06,5,3512.678996546665,2974.246381048868
2025-02-07,0,6512.628661634916,13.666758333333348
2025-02-07,1,466.54100573677135,6312.872083333333
2025-02-07,2,4765.899283333333,1115.3134499999999
2025-02-07,3,4377.418633876025,16.925678333333508
