day_index,candidate_count,total_candidate_solve_seconds
31,15,2.650540499997078
32,15,3.111205000002883
33,15,3.4740697000015643
34,15,3.8947434999990946
35,15,3.2021087999983138
36,15,3.362216099998477
37,15,2.5898151000037615
38,15,2.4386940999975195
39,15,3.3470948999984103
40,15,3.6130131000008987
41,15,3.324550500006808
42,15,3.8960024999960297
43,15,3.5411199999998644
44,15,2.0313923000012437
45,15,2.195701500004361
46,15,3.046651799993924
47,15,2.705613000001904
48,15,3.4836626000014803
49,15,3.3247357000036573
50,15,3.5903127000001405
51,15,2.4940305999989505
52,15,2.015406999998959
53,15,2.6911718000010296
54,15,3.55885809999927
55,15,3.352189500001259
56,15,2.8852965000005497
57,15,3.4602405999976327
58,15,2.007497100003093
59,15,2.0164905000056024
60,15,3.04877789999955
61,15,2.5092450000047393
62,15,2.576683300003424
63,15,2.918385399998442
64,15,2.8737949000042136
65,15,2.1070724000019254
66,15,2.0892313000058493
67,15,2.5169840999951703
68,15,2.955180200000541
69,15,2.6953357000002143
70,15,3.132826200002455
71,15,2.887667800005147
72,15,2.1854486000011093
73,15,1.856493400000545
74,15,2.624696800001402
75,15,2.8873958000003768
76,15,2.870282399999269
77,15,3.142100200000641
78,15,2.8318733000014618
79,15,2.202009699993141
80,15,1.8881326000027912
81,15,3.2270177000009426
82,15,2.7774608000017906
83,15,3.083405199997287
84,15,2.2007678000009037
85,15,3.0645306999995228
86,15,1.7164691000016319
87,15,1.7131563000020833
88,15,3.623723400001836
89,15,2.531058700000358
90,15,2.4960333999988507
91,15,2.3451407000029576
92,15,2.4149791999989247
93,15,1.75641710000491
94,15,1.7510646999980963
95,15,3.551905899998019
96,15,3.022336699999869
97,15,2.2521960999984003
98,15,2.4228096999977424
99,15,2.534122799996112
100,15,1.7043921999993472
101,15,1.7798292999996193
102,15,3.343943500003661
103,15,2.092648999996527
104,15,2.2151545000051556
105,15,2.715571499995349
106,15,2.63869579999664
107,15,1.7669680999970296
108,15,1.6891326999957528
109,15,2.5802091999994445
110,15,2.9386016000007658
111,15,2.580358300001535
112,15,3.015422300002683
113,15,2.4673258000020724
114,15,1.668165900004169
115,15,1.669264000000112
116,15,2.2598036999988835
117,15,2.43836999999985
118,15,2.1141499999994267
119,15,2.35829940000076
120,15,2.6992489000003843
121,15,1.713530200000605
122,15,1.7012905000010505
123,15,2.6081680999996024
124,15,2.9014765999982046
125,15,2.7172737999990204
126,15,2.9457086000038544
127,15,2.3365915000013047
128,15,1.8077925000034156
129,15,1.7301028999991104
130,15,2.409871199997724
131,15,2.9235453000001144
132,15,2.6437553000014304
133,15,2.4720938000027672
134,15,2.485361200000625
135,15,1.687517200007278
