interval_start,interval_end,plan_day,step,phase,decision_time,price_forecast_yuan_per_kwh,price_actual_yuan_per_kwh,price_max_source_time,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,plan_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,soc_before_kwh,soc_after_kwh,plan_cost_actual_yuan,emergency_cost_actual_yuan
2025-02-01 00:00:00,2025-02-01 00:10:00,2025-01-31 00:00:00,143,dynamic,2025-01-31 00:00:00,0.2955,0.309,2025-01-25 00:00:00,423.96000000000004,0.0,447.5183333333333,0.0,1293.0749999999998,833.3333333333333,0.0,0.0,35.781666666666524,5743.453033407413,6493.453033407413,399.56017499999996,0.0
2025-02-01 00:10:00,2025-02-01 00:20:00,2025-02-01 00:00:00,0,dynamic,2025-02-01 00:00:00,0.3381,0.3281,2025-01-26 00:00:00,422.0303666666667,0.0,451.94828333333334,0.0,1073.4715867695406,651.441220102874,0.0,0.0,0.0,6493.453033407413,7079.7501315,352.2060276190863,0.0
2025-02-01 00:20:00,2025-02-01 00:30:00,2025-02-01 00:00:00,1,dynamic,2025-02-01 00:00:00,0.3528,0.3257,2025-01-26 00:00:00,415.4073166666667,0.0,447.33687499999996,0.0,447.33687499999996,31.92955833333326,0.0,0.0,0.0,7079.7501315,7108.486734,145.69762018749998,0.0
2025-02-01 00:30:00,2025-02-01 00:40:00,2025-02-01 00:00:00,2,dynamic,2025-02-01 00:00:00,0.3008,0.3041,2025-01-26 00:00:00,410.7166666666667,0.0,444.065,0.0,1282.0566666666666,833.3333333333333,0.0,0.0,38.00666666666666,7108.486734,7858.486734,389.8734323333333,0.0
2025-02-01 00:40:00,2025-02-01 00:50:00,2025-02-01 00:00:00,3,dynamic,2025-02-01 00:00:00,0.3039,0.3126,2025-01-26 00:00:00,430.29479999999995,0.0,463.26765,0.0,1305.40142,833.3333333333333,0.0,0.0,41.77328666666676,7858.486734,8608.486734,408.06848389199996,0.0
2025-02-01 00:50:00,2025-02-01 01:00:00,2025-02-01 00:00:00,4,dynamic,2025-02-01 00:00:00,0.3343,0.3286,2025-01-26 00:00:00,424.4105833333333,0.0,486.843525,0.0,1335.5768883333333,833.3333333333333,0.0,0.0,77.83297166666671,8608.486734,9358.486734,438.8705655063333,0.0
2025-02-01 01:00:00,2025-02-01 01:10:00,2025-02-01 00:00:00,5,dynamic,2025-02-01 00:00:00,0.3558,0.3438,2025-01-26 00:00:00,406.0516666666666,0.0,494.3833333333333,0.0,512.6176666666667,106.56600000000003,0.0,0.0,0.0,9358.486734,9454.396134,176.23795379999999,0.0
2025-02-01 01:10:00,2025-02-01 01:20:00,2025-02-01 00:00:00,6,dynamic,2025-02-01 00:00:00,0.3641,0.3704,2025-01-26 00:00:00,436.7501833333333,0.0,479.10590833333333,0.0,494.6423766666667,57.89219333333335,0.0,0.0,0.0,9454.396134,9506.499108,183.21553631733335,0.0
2025-02-01 01:20:00,2025-02-01 01:30:00,2025-02-01 00:00:00,7,dynamic,2025-02-01 00:00:00,0.3577,0.3746,2025-01-26 00:00:00,451.7976833333333,0.0,457.79322499999995,0.0,465.42127833333325,13.623594999999966,0.0,0.0,0.0,9506.499108,9518.7603435,174.34681086366663,0.0
2025-02-01 01:30:00,2025-02-01 01:40:00,2025-02-01 00:00:00,8,dynamic,2025-02-01 00:00:00,0.3605,0.3606,2025-01-26 00:00:00,446.08,0.0,452.1825,0.0,470.7793333333333,24.6993333333333,0.0,0.0,0.0,9518.7603435,9540.9897435,169.76302759999996,0.0
