date,time_index,load_actual,pv_actual,load_forecast,pv_forecast,grid_plan,charge,discharge,emergency,spill,soc_before,soc_after,price,normal_cost,emergency_cost
2025-02-01,0,2532.1822,0.0,2711.6897,0.0,1240.6896916666667,818.6593250000001,0.0,0.0,0.0,6000.0,6736.7933925,0.4248,527.04498102,0.0
2025-02-01,1,2492.4439,0.0,2684.02125,0.0,1231.6544583333332,816.2471416666665,0.0,0.0,0.0,6736.7933925,7471.415819999999,0.4245,522.8373175625,0.0
2025-02-01,2,2464.3,0.0,2664.3900000000003,0.0,1236.3808333333334,825.6641666666667,0.0,0.0,0.0,7471.415819999999,8214.51357,0.4269,527.81097775,0.0
2025-02-01,3,2581.7688,0.0,2779.6059,0.0,1254.2558016666699,823.96100166667,0.0,0.0,0.0,8214.51357,8956.078471500003,0.4272,535.8180784720014,0.0
2025-02-01,4,2546.4635,0.0,2921.06115,0.0,1329.2144916666666,833.3333333333333,0.0,0.0,71.47057500000005,8956.078471500003,9706.078471500003,0.4271,567.7075093908333,0.0
2025-02-01,5,2436.31,0.0,2966.3,0.0,529.41,123.35833333333335,0.0,0.0,0.0,9706.078471500003,9817.100971500002,0.4285,226.852185,0.0
2025-02-01,6,2620.5011,0.0,2874.6354499999998,0.0,496.8100416666667,60.05985833333335,0.0,0.0,0.0,9817.100971500002,9871.154844000002,0.4311,214.1748089625,0.0
2025-02-01,7,2710.7861,0.0,2746.75935,0.0,470.71590833333335,18.918225000000064,0.0,0.0,0.0,9871.154844000002,9888.181246500002,0.4302,202.501983765,0.0
2025-02-01,8,2676.48,0.0,2713.0950000000003,0.0,475.9875000000002,29.907500000000198,0.0,0.0,0.0,9888.181246500002,9915.097996500002,0.4279,203.67505125000008,0.0
2025-02-01,9,2830.598,0.0,2845.35345,0.0,473.56699166666664,1.800658333333331,0.0,0.0,0.0,9915.097996500002,9916.718589000002,0.4312,204.20208680666667,0.0
2025-02-01,10,2688.1558,0.0,3003.28615,0.0,502.20772500000004,54.18175833333339,0.0,0.0,0.0,9916.718589000002,9965.482171500002,0.4333,217.60660724250002,0.0
2025-02-01,11,2384.42,0.0,3049.99,0.0,539.1666666666665,141.7633333333332,0.0,0.0,0.0,9965.482171500002,10093.069171500001,0.4311,232.43474999999992,0.0
2025-02-01,12,2604.5438,0.0,2965.8395499999997,0.0,476.00293333333326,41.91229999999996,0.0,0.0,0.0,10093.069171500001,10130.7902415,0.4293,204.34805927999997,0.0
2025-02-01,13,2943.3655,0.0,2963.2742,0.0,462.9246666666666,0.0,27.636250000000018,0.0,0.0,10130.7902415,10100.083297055557,0.4324,200.16862586666664,0.0
2025-02-01,14,3019.32,0.0,3040.775,0.0,536.355,33.13499999999999,0.0,0.0,0.0,10100.083297055557,10129.904797055557,0.4367,234.2262285,0.0
2025-02-01,15,2844.4369,0.0,3009.72615,0.0,492.39124999999996,18.318433333333303,0.0,0.0,0.0,10129.904797055557,10146.391387055557,0.4348,214.0917155,0.0
2025-02-01,16,2768.3064,0.0,3010.5222000000003,0.0,500.2027250000001,38.81832500000013,0.0,0.0,0.0,10146.391387055557,10181.327879555558,0.4335,216.83788128750004,0.0
