month,days,baseline_cash_yuan,candidate_cash_yuan,cash_saving_yuan,inventory_adjusted_saving_yuan,baseline_initial_soc_kwh,candidate_initial_soc_kwh,baseline_end_soc_kwh,candidate_end_soc_kwh,baseline_emergency_kwh,candidate_emergency_kwh,baseline_daily_cvar95_yuan,candidate_daily_cvar95_yuan,bootstrap_mean_daily_cash_saving_ci95_yuan
2025-02,28,1209747.776493614,1203087.665000474,6660.1114931401535,6660.1114931401535,3717.349490203704,3717.349490203704,4444.719895482853,4444.719895482853,6401.485204144661,2070.7479762557728,58480.56566052186,56460.87622690956,"{'3': [-223.62981046401595, 819.4118504824761], '7': [-199.50225811148434, 1021.4265357014531], '14': [120.44196347502735, 732.9473362666564]}"
2025-03,31,1152586.997028508,1120587.866572379,31999.130456128718,32077.177029649756,4444.719895482853,4444.719895482853,4509.822776334268,4676.446545593527,11846.03893186144,95.58778647849998,65460.125158505034,51267.48839802348,"{'3': [-354.31218433722813, 2471.1532305205114], '7': [-220.25955418475252, 1972.413352084954], '14': [85.6976565647758, 2120.654468563894]}"
2025-04,30,1017376.6137444638,933465.7016163187,83910.91212814512,83832.86555462409,4509.822776334268,4676.446545593527,4729.228461173504,4729.228461173504,21526.056566376526,292.6984259849338,69410.55191181431,46131.20243853028,"{'3': [181.84739434507796, 5158.336054288808], '7': [157.30370985045823, 3381.457184436736], '14': [10.901272775835206, 2928.9882218959033]}"
2025-05,31,983782.5098745546,963660.0770699152,20122.43280463923,20122.43280463923,4729.228461173504,4729.228461173504,5627.127746127388,5627.127746127388,9689.846212132497,1782.7015837944423,45629.47479868894,41720.13494102657,"{'3': [-324.5085866952964, 1474.7667079912221], '7': [-586.2462674209485, 1496.8271641338306], '14': [-591.9395758576875, 1149.7822573696874]}"
2025-06,30,1513946.1434631345,1349113.6939601894,164832.4495029451,164832.4495029451,5627.127746127388,5627.127746127388,7391.845370814808,7391.845370814808,37186.62949342018,387.93693363333284,102410.10353205592,58585.71053499976,"{'3': [231.69299232537563, 9983.819756894336], '7': [241.69652098738652, 8899.109521086426], '14': [121.06161443190395, 7032.740650347288]}"
2025-07,31,1591024.6695243048,1531106.53815391,59918.13137039491,59918.13137039491,7391.845370814808,7391.845370814808,9029.395050730676,9029.395050730676,18965.893129915203,273.7167859763348,79334.97959693795,61995.05167898748,"{'3': [41.17354187267767, 4518.475740409875], '7': [-46.122360574088475, 4849.126789551976], '14': [-61.34016852524327, 3927.7039402263886]}"
2025-08,31,1289915.3000992374,1255890.3789457867,34024.92115345057,34024.92115345057,9029.395050730676,9029.395050730676,5453.435341396891,5453.435341396891,11127.623270849039,260.1239374741653,68537.41361758256,52085.263796260755,"{'3': [-192.23050241993323, 3212.8715180404624], '7': [-374.3527047694799, 3205.8085367690305], '14': [-323.0494730380896, 2444.61132845554]}"
2025-09,30,1138264.5090294743,1123747.5520743958,14516.956955078334,14695.934527172112,5453.435341396891,5453.435341396891,4186.984123148148,4569.088248028119,9762.394333418797,783.3941818905123,51256.52094971946,46634.82105103301,"{'3': [-287.8828546001035, 1149.4371327310125], '7': [-166.06943667012666, 1270.3279354813824], '14': [-192.80044934449143, 1142.4501815539263]}"
2025-10,31,1138526.3437064737,1109708.4248235237,28817.91888294987,28638.94131085609,4186.984123148148,4569.088248028119,4531.052334537041,4531.052334537041,9585.44116950717,967.8239879633455,56946.53714901548,48359.87126971604,"{'3': [135.11244791258716, 2027.3063430530478], '7': [-56.41751868522791, 1889.319849840218], '14': [473.1361736897143, 1754.4109344605329]}"
2025-11,30,1249870.9461989703,1253362.8130582832,-3491.8668593127586,-3385.1628514089425,4531.052334537041,4531.052334537041,4015.423986944445,4243.229298438501,5268.717981105201,531.2399124263823,58421.43086057748,55128.462700284,"{'3': [-846.5842346754639, 433.8180398580138], '7': [-925.6674883026719, 210.2218224171688], '14': [-845.0676979090564, -59.217425103723116]}"
2025-12,31,1727048.3986062398,1688592.770962622,38455.627643617816,38348.923635714,4015.423986944445,4243.229298438501,4407.270645740739,4407.270645740739,15433.00074065758,207.68677024999465,86941.36809727212,66936.6931752214,"{'3': [-455.0092546942457, 2553.301120847462], '7': [-277.7137648228709, 1972.6392616976548], '14': [-281.8442261364762, 1461.168920877964]}"
