date,quarter,load_mwh,pv_mwh
2025-01-01,1,127.28615238333333,35.250982366666655
2025-01-02,1,127.65707848333331,34.77183921666666
2025-01-03,1,81.88355671666666,36.37861534999999
2025-01-04,1,81.89173006666667,37.126127700000005
2025-01-05,1,127.67411883333331,36.63840853333333
2025-01-06,1,126.8266901166667,36.194209016666676
2025-01-07,1,126.92746215000004,34.36056120000001
2025-01-08,1,126.69594395000004,37.16994263333333
2025-01-09,1,127.06661819999992,35.97506208333333
2025-01-10,1,81.48663841666664,35.9959717
2025-01-11,1,81.61019496666665,36.74430834999999
2025-01-12,1,126.51932696666667,35.65343856666667
2025-01-13,1,126.98035978333336,38.70640281666667
2025-01-14,1,127.10949061666663,37.82917768333334
2025-01-15,1,126.96389896666665,36.89355603333334
2025-01-16,1,126.8077641833333,37.73361273333333
2025-01-17,1,80.87607619999997,38.18696273333333
2025-01-18,1,81.2080575,37.96554848333334
2025-01-19,1,126.2108462166666,37.52770674999999
2025-01-20,1,126.56566615,38.498589599999995
2025-01-21,1,125.75014588333346,42.27424119999999
2025-01-22,1,126.67958854999995,37.780824183333344
2025-01-23,1,126.35543114999997,36.78950555
2025-01-24,1,80.3395357,40.51012254999999
2025-01-25,1,80.63206428333336,42.19248881666667
2025-01-26,1,126.38504864999997,38.68605861666666
2025-01-27,1,125.64295023333332,41.448033450000004
2025-01-28,1,126.4966109333333,39.51621156666667
2025-01-29,1,125.42544486666672,44.040243816666674
2025-01-30,1,126.01104994999997,42.26846716666665
2025-01-31,1,80.00991998333339,41.24559693333334
2025-02-01,1,76.30520628333332,41.927030349999995
2025-02-02,1,121.70597265,43.349694699999986
2025-02-03,1,122.60376899999993,42.386852499999996
2025-02-04,1,121.57809884999999,40.383234900000005
2025-02-05,1,121.99108443333331,41.24265745000001
2025-02-06,1,122.25216269999999,41.98110548333333
2025-02-07,1,76.1685969333334,44.36291726666665
2025-02-08,1,75.74678751666667,44.16962480000001
2025-02-09,1,121.54790356666669,41.99248760000001
2025-02-10,1,121.47756451666667,47.150926933333345
2025-02-11,1,121.4412816166667,46.220684483333315
2025-02-12,1,121.36385288333331,46.097116750000005
2025-02-13,1,121.31028371666665,49.98080470000001
2025-02-14,1,75.87263795,46.07083613333332
2025-02-15,1,76.05455224999996,46.77446115
2025-02-16,1,121.27697728333331,45.89959818333332
2025-02-17,1,120.96037281666669,49.77650965000002
2025-02-18,1,121.33127123333335,49.239883450000015
2025-02-19,1,121.86679411666671,48.98746673333333
2025-02-20,1,121.10525703333343,50.112123299999986
2025-02-21,1,75.80200203333332,50.24174
2025-02-22,1,75.68224226666665,47.837479383333346
2025-02-23,1,121.14214093333337,49.61028725000001
2025-02-24,1,120.62898855,52.42595493333334
2025-02-25,1,121.09333288333343,55.272009649999966
2025-02-26,1,121.06073411666668,52.245886083333325
2025-02-27,1,120.59948893333329,53.64290473333332
2025-02-28,1,75.38510795000003,52.09251439999999
2025-03-01,1,72.24416014999998,48.585394216666685
2025-03-02,1,117.86041708333325,45.50211001666669
2025-03-03,1,117.95874559999994,45.94159896666666
2025-03-04,1,118.1390249833334,48.939567049999994
2025-03-05,1,118.07344383333333,51.942971816666685
2025-03-06,1,117.67359854999995,51.732944416666655
2025-03-07,1,71.68036144999996,50.758075916666655
2025-03-08,1,72.34471158333331,53.281572066666676
2025-03-09,1,117.69298650000006,54.359461450000005
2025-03-10,1,117.94306436666668,49.90099291666667
2025-03-11,1,117.49955295000004,53.56063415
2025-03-12,1,118.11223683333331,55.67670214999999
2025-03-13,1,118.23727704999997,50.69165903333336
2025-03-14,1,72.10886894999999,56.079442966666655
2025-03-15,1,72.72498178333333,51.80085663333333
2025-03-16,1,117.98321598333338,54.632169049999995
2025-03-17,1,117.69362179999995,59.835490366666676
2025-03-18,1,117.25342358333339,56.127465216666664
