plan_day,step,load_actual_kwh,pv_actual_kwh,plan_grid_kwh,price_actual_yuan_per_kwh,price_forecast_yuan_per_kwh
2025-02-25,0,592.1196333333332,0.0,574.8038416666665,0.4872,0.4538
2025-02-25,1,578.3004166666666,0.0,1398.23345,0.447,0.3978
2025-02-25,2,536.4633333333334,0.0,1398.1366666666663,0.3959,0.3707
2025-02-25,3,560.6937666666666,0.0,1403.1559416666664,0.4063,0.3809
2025-02-25,4,588.7061666666666,0.0,1420.3315199999995,0.4285,0.4121
2025-02-25,5,596.935,0.0,582.8606666666666,0.442,0.4314
2025-02-25,6,619.1368833333333,0.0,572.7642633333332,0.4672,0.4168
2025-02-25,7,605.79935,0.0,582.343725,0.4499,0.4305
2025-02-25,8,570.1816666666666,0.0,606.2984999999999,0.4134,0.4729
2025-02-25,9,578.3770999999999,0.0,602.8165083333333,0.4368,0.4781
2025-02-25,10,574.2130333333333,0.0,610.37501,0.4383,0.4496
2025-02-25,11,566.2616666666667,0.0,620.0976666666666,0.401,0.4155
2025-02-25,12,619.4151666666667,0.0,1446.8889433333334,0.3964,0.3993
2025-02-25,13,643.704,0.0,1446.748833333333,0.4232,0.3849
2025-02-25,14,618.9616666666666,0.0,1461.7824999999998,0.4478,0.3933
2025-02-25,15,615.6332666666666,0.0,635.6146166666666,0.4411,0.459
2025-02-25,16,628.57945,0.0,622.7118,0.4412,0.4865
2025-02-25,17,638.7816666666666,0.0,608.9661666666666,0.4591,0.4601
2025-02-25,18,639.0568,0.0,625.2840833333333,0.4669,0.4534
2025-02-25,19,643.71345,0.0,638.4786416666666,0.4592,0.4479
2025-02-25,20,650.3933333333333,0.0,637.0358333333334,0.4516,0.4398
2025-02-25,21,640.3439,0.0,643.3853916666666,0.4594,0.4545
2025-02-25,22,617.8593333333333,0.0,646.8249333333333,0.4383,0.4764
2025-02-25,23,610.0266666666666,0.0,644.9941666666666,0.4248,0.4801
2025-02-25,24,639.6539333333333,0.0,638.2000333333333,0.4942,0.457
2025-02-25,25,648.3765833333333,0.0,648.4784633333335,0.5062,0.463
2025-02-25,26,627.9283333333333,0.0,670.9530000000001,0.4479,0.497
2025-02-25,27,626.5987333333333,0.0,673.1702833333334,0.4463,0.5008
2025-02-25,28,637.0876666666666,0.0006333333333333,678.2552989999999,0.4613,0.4823
2025-02-25,29,648.5999999999999,0.0,672.1616666666666,0.4798,0.442
2025-02-25,30,658.6180166666666,0.0,1485.9272969999995,0.5293,0.3882
2025-02-25,31,653.8577166666666,0.0089166666666666,655.5335829999999,0.5232,0.447
2025-02-25,32,637.2233333333334,0.0,312.1969606154529,0.4434,0.5123
2025-02-25,33,643.8062833333333,0.0,1482.9931926666666,0.4096,0.3951
2025-02-25,34,753.7613833333332,0.1241333333333333,714.2909466666666,0.6771,0.5887
