day_index,candidate_count,candidate_solve_seconds_sum,max_source_pool_residual
0,15,0.5280588030582294,2.2737367544323206e-13
1,15,0.22914214187767357,2.2737367544323206e-13
2,15,0.22573246399406344,2.2737367544323206e-13
3,15,0.401901961886324,1.5631940186722204e-13
4,15,0.5925865769386292,2.2737367544323206e-13
5,15,1.0855770848575048,4.547473508864641e-13
6,15,1.7579348031431437,2.984279490192421e-13
7,15,2.001172328076791,5.684341886080801e-13
8,15,2.364988601009827,4.547473508864641e-13
9,15,2.1847312031313777,3.410605131648481e-13
10,15,2.082292345992755,3.410605131648481e-13
11,15,3.1837871930911206,5.684341886080801e-13
12,15,2.980968117073644,5.684341886080801e-13
13,15,2.959206082043238,5.684341886080801e-13
14,15,2.7503727629082277,4.547473508864641e-13
15,15,2.827071490988601,5.684341886080801e-13
16,15,2.821427927876357,3.410605131648481e-13
17,15,2.8251090691192076,3.410605131648481e-13
18,15,2.736411144142039,5.684341886080801e-13
19,15,2.6491035500657745,4.547473508864641e-13
20,15,3.134588382905349,4.547473508864641e-13
21,15,3.0958985780598596,4.547473508864641e-13
22,15,3.047874122101348,4.547473508864641e-13
23,15,3.222115259966813,4.547473508864641e-13
24,15,2.9930491299019195,4.547473508864641e-13
25,15,2.9243195060407743,4.547473508864641e-13
26,15,3.042390512127895,4.547473508864641e-13
27,15,3.1563723630388267,4.547473508864641e-13
28,15,2.8582349520293064,4.547473508864641e-13
29,15,2.8579672000487335,4.547473508864641e-13
30,15,2.6297542109386995,4.547473508864641e-13
31,15,2.8306485479697585,4.547473508864641e-13
32,15,2.998787188786082,4.547473508864641e-13
33,15,3.3867747018812224,4.547473508864641e-13
34,15,2.842910016013775,4.547473508864641e-13
35,15,3.4694504318758845,4.547473508864641e-13
36,15,3.308662249997724,4.547473508864641e-13
37,15,3.0048114770906977,4.547473508864641e-13
38,15,2.5920572670875117,6.821210263296962e-13
39,15,2.8619259030674584,5.684341886080801e-13
40,15,3.1534173329127952,4.547473508864641e-13
41,15,3.2420110989478417,4.547473508864641e-13
42,15,3.1741186700528488,5.684341886080801e-13
43,15,3.330873556085862,6.821210263296962e-13
44,15,2.905282143037766,4.547473508864641e-13
45,15,2.726500659948215,4.547473508864641e-13
46,15,3.1719602661323734,4.547473508864641e-13
47,15,2.9234133951249532,4.547473508864641e-13
48,15,2.773771366919391,4.547473508864641e-13
49,15,3.392774994892534,4.547473508864641e-13
50,15,3.3673097459832206,4.547473508864641e-13
51,15,2.736456958926283,4.547473508864641e-13
52,15,2.622828375082463,4.547473508864641e-13
53,15,2.980516500887461,4.547473508864641e-13
54,15,2.910232236958109,4.547473508864641e-13
55,15,3.0452704690978862,4.547473508864641e-13
56,15,2.767559439933393,4.547473508864641e-13
57,15,2.710481115092989,4.547473508864641e-13
58,15,2.306508697103709,4.547473508864641e-13
59,15,2.362722169084009,4.547473508864641e-13
60,15,3.3090899730450474,4.547473508864641e-13
61,15,3.2085656409617513,4.547473508864641e-13
62,15,2.800998369057197,4.547473508864641e-13
63,15,2.971464551985264,4.547473508864641e-13
64,15,3.8083800119929947,3.410605131648481e-13
65,15,2.00167819095077,2.2737367544323206e-13
66,15,1.857240238925442,2.2737367544323206e-13
67,15,3.1712042920989916,4.547473508864641e-13
68,15,3.4651636750786565,4.547473508864641e-13
69,15,3.1033955290331505,4.547473508864641e-13
70,15,2.943251837976277,4.547473508864641e-13
71,15,3.352874814881943,4.547473508864641e-13
72,15,2.40528514503967,2.2737367544323206e-13
73,15,2.348111074883491,2.2737367544323206e-13
74,15,3.0593220641603693,4.547473508864641e-13
75,15,2.6748819851200096,4.547473508864641e-13
76,15,2.8895796659053303,4.547473508864641e-13
77,15,3.1096955090761185,4.547473508864641e-13
78,15,3.357483983912971,2.802202914153895e-13
79,15,2.2645126469433308,2.2737367544323206e-13
80,15,1.9366126739187166,2.2737367544323206e-13
81,15,3.473094981047325,4.547473508864641e-13
82,15,3.372871359984856,4.547473508864641e-13
83,15,2.8736985970754176,2.2737367544323206e-13
84,15,3.5216287720832042,4.547473508864641e-13
85,15,2.467701890040189,2.2737367544323206e-13
86,15,1.9193191139493138,2.2737367544323206e-13
87,15,1.9562982770148665,2.2737367544323206e-13
88,15,2.994291814917233,4.547473508864641e-13
89,15,2.678610876086168,2.2737367544323206e-13
