natural_day,block_index,charge_kwh,discharge_kwh,initial_soc_kwh,end_soc_kwh,interval_count,complete_block
2025-03-20,0,5588.443124015386,126.52622500000007,4751.661227256521,9640.675344425921,24,True
2025-03-20,1,1125.0986266666669,4734.311035000001,9640.675344425921,5392.9185139814745,24,True
2025-03-20,2,2926.957482538225,3265.5568,5392.9185139814745,4398.783803821433,24,True
2025-03-20,3,5401.486943395063,315.60094166666613,4398.783803821433,8909.454339914022,24,True
2025-03-20,4,109.95512567900994,5156.0617275623445,8909.454339914022,3279.456477955857,24,True
2025-03-20,5,3596.9779333333327,1957.8507797436048,3279.456477955857,4341.346862685184,24,True
2025-03-21,0,164.24491691666805,738.8955833333337,4341.346862685184,3668.172195317591,24,True
2025-03-21,1,901.4944516666665,2890.0960801358315,3668.172195317591,1268.299335,24,True
2025-03-21,2,10590.778516666665,0.0,1268.299335,10800.0,24,True
2025-03-21,3,0.0,0.0,10800.0,10800.0,24,True
2025-03-21,4,33.99959117004827,5547.0876637833335,10800.0,4667.168894516004,24,True
2025-03-21,5,3426.3658166666664,2927.01855,4667.168894516004,4498.65529618267,24,True
2025-03-22,0,232.15407499999986,186.25613274615108,4498.65529618267,4500.642705075836,24,True
2025-03-22,1,828.6724716666668,3555.1150502900214,4500.642705075836,1296.3200959202563,24,True
2025-03-22,2,10012.848316666667,0.0,1296.3200959202563,10307.883580920256,24,True
2025-03-22,3,546.796021199716,0.0,10307.883580920256,10800.0,24,True
2025-03-22,4,90.0954152166621,5538.502438086418,10800.0,4727.194275821197,24,True
2025-03-22,5,3461.269521203091,2717.22665,4727.194275821197,4823.1961226817575,24,True
