date,interval_start,interval_end,emergency_kwh,time_period
2025-02-15,2025-02-15 20:50:00,2025-02-15 21:30:00,178.4133474166693,20:50-21:30
2025-02-15,2025-02-15 21:40:00,2025-02-15 22:00:00,33.84981491749661,21:40-22:00
2025-02-16,2025-02-16 06:00:00,2025-02-16 06:20:00,12.061531736110965,06:00-06:20
2025-02-16,2025-02-16 10:40:00,2025-02-16 11:00:00,171.19760423333383,10:40-11:00
2025-02-16,2025-02-16 20:30:00,2025-02-16 20:50:00,835.5768157998851,20:30-20:50
2025-02-16,2025-02-16 21:20:00,2025-02-16 21:30:00,14.951716166666756,21:20-21:30
2025-02-16,2025-02-16 21:40:00,2025-02-16 22:00:00,26.801793573333224,21:40-22:00
2025-02-19,2025-02-19 06:30:00,2025-02-19 06:40:00,11.756249999999909,06:30-06:40
2025-02-19,2025-02-19 09:40:00,2025-02-19 10:50:00,824.8578542930529,09:40-10:50
2025-02-19,2025-02-19 20:30:00,2025-02-19 22:00:00,1263.3670027121593,20:30-22:00
2025-02-20,2025-02-20 06:10:00,2025-02-20 06:20:00,8.202134999999885,06:10-06:20
2025-02-20,2025-02-20 21:10:00,2025-02-20 21:20:00,9.136531666671043,21:10-21:20
2025-02-22,2025-02-22 08:20:00,2025-02-22 08:30:00,6.9194447916662725,08:20-08:30
2025-02-22,2025-02-22 20:50:00,2025-02-22 21:00:00,137.20689063333322,20:50-21:00
2025-02-22,2025-02-22 21:40:00,2025-02-22 21:50:00,16.405571116664373,21:40-21:50
2025-02-24,2025-02-24 06:10:00,2025-02-24 06:20:00,25.751363333333188,06:10-06:20
2025-02-24,2025-02-24 20:50:00,2025-02-24 21:20:00,41.812433700002615,20:50-21:20
2025-02-25,2025-02-25 06:00:00,2025-02-25 06:10:00,13.124166666666497,06:00-06:10
2025-02-25,2025-02-25 06:30:00,2025-02-25 06:40:00,10.660833333333358,06:30-06:40
2025-02-26,2025-02-26 20:40:00,2025-02-26 21:10:00,88.69671215000335,20:40-21:10
2025-02-27,2025-02-27 06:10:00,2025-02-27 06:20:00,11.70663166666634,06:10-06:20
2025-02-27,2025-02-27 09:30:00,2025-02-27 10:30:00,877.362914683333,09:30-10:30
2025-02-27,2025-02-27 21:40:00,2025-02-27 21:50:00,16.2375138333281,21:40-21:50
2025-03-01,2025-03-01 20:50:00,2025-03-01 21:30:00,155.93405751050483,20:50-21:30
2025-03-02,2025-03-02 20:10:00,2025-03-02 21:10:00,2349.0027376211906,20:10-21:10
2025-03-02,2025-03-02 21:30:00,2025-03-02 21:50:00,48.87018125000006,21:30-21:50
2025-03-03,2025-03-03 20:40:00,2025-03-03 21:10:00,513.1382065166642,20:40-21:10
2025-03-03,2025-03-03 21:20:00,2025-03-03 21:50:00,85.47720358333345,21:20-21:50
2025-03-10,2025-03-10 20:50:00,2025-03-10 21:00:00,12.56739049134635,20:50-21:00
2025-03-12,2025-03-12 20:40:00,2025-03-12 20:50:00,180.51405605000105,20:40-20:50
2025-03-13,2025-03-13 20:40:00,2025-03-13 21:00:00,206.2912518048338,20:40-21:00
2025-03-15,2025-03-15 07:20:00,2025-03-15 08:00:00,89.1474286805563,07:20-08:00
2025-03-16,2025-03-16 06:00:00,2025-03-16 06:10:00,1.6399999999999864,06:00-06:10
2025-03-20,2025-03-20 20:20:00,2025-03-20 20:50:00,1785.0739865063952,20:20-20:50
2025-03-20,2025-03-20 21:40:00,2025-03-20 22:00:00,87.74545041666681,21:40-22:00
2025-03-25,2025-03-25 20:40:00,2025-03-25 21:00:00,162.4600942207827,20:40-21:00
2025-03-25,2025-03-25 21:30:00,2025-03-25 22:00:00,48.747787333333505,21:30-22:00
2025-04-01,2025-04-01 20:40:00,2025-04-01 21:10:00,152.04738544136728,20:40-21:10
2025-04-01,2025-04-01 21:40:00,2025-04-01 22:00:00,86.7658994166664,21:40-22:00
2025-04-02,2025-04-02 20:40:00,2025-04-02 21:00:00,127.9685251991807,20:40-21:00
2025-04-05,2025-04-05 21:00:00,2025-04-05 21:10:00,27.578162121834897,21:00-21:10
2025-04-08,2025-04-08 20:40:00,2025-04-08 21:00:00,277.4613286419717,20:40-21:00
2025-04-10,2025-04-10 20:40:00,2025-04-10 21:10:00,91.50980656391982,20:40-21:10
2025-04-13,2025-04-13 20:40:00,2025-04-13 21:00:00,60.38189008333006,20:40-21:00
2025-04-13,2025-04-13 21:10:00,2025-04-13 21:30:00,9.24101666666677,21:10-21:30
2025-04-13,2025-04-13 21:50:00,2025-04-13 22:00:00,3.547958333333076,21:50-22:00
2025-04-21,2025-04-21 21:30:00,2025-04-21 22:00:00,45.64193209999835,21:30-22:00
2025-04-24,2025-04-24 21:40:00,2025-04-24 21:50:00,11.292670255208165,21:40-21:50
2025-04-26,2025-04-26 20:50:00,2025-04-26 21:20:00,179.64319196666742,20:50-21:20
2025-04-26,2025-04-26 21:40:00,2025-04-26 22:00:00,147.17915886666682,21:40-22:00
2025-04-27,2025-04-27 20:30:00,2025-04-27 20:50:00,1100.4980234666705,20:30-20:50
2025-04-27,2025-04-27 21:40:00,2025-04-27 21:50:00,7.076288416666966,21:40-21:50
2025-04-28,2025-04-28 20:40:00,2025-04-28 21:40:00,76.95830643083218,20:40-21:40
2025-05-01,2025-05-01 20:30:00,2025-05-01 22:00:00,1952.270383997975,20:30-22:00
2025-05-02,2025-05-02 20:20:00,2025-05-02 22:00:00,2269.2495040833346,20:20-22:00
2025-05-04,2025-05-04 20:40:00,2025-05-04 21:00:00,84.86052333333112,20:40-21:00
2025-05-04,2025-05-04 21:20:00,2025-05-04 21:40:00,67.71752241666665,21:20-21:40
2025-05-05,2025-05-05 20:40:00,2025-05-05 21:10:00,396.69429166666885,20:40-21:10
2025-05-07,2025-05-07 20:40:00,2025-05-07 21:00:00,659.4450849166712,20:40-21:00
2025-05-07,2025-05-07 21:10:00,2025-05-07 22:00:00,286.35141491666695,21:10-22:00
2025-05-08,2025-05-08 20:10:00,2025-05-08 20:20:00,35.99924999999996,20:10-20:20
2025-05-08,2025-05-08 20:40:00,2025-05-08 21:00:00,558.0323144999971,20:40-21:00
2025-05-08,2025-05-08 21:30:00,2025-05-08 22:00:00,65.37657966666715,21:30-22:00
2025-05-11,2025-05-11 19:30:00,2025-05-11 19:40:00,27.56166666666661,19:30-19:40
2025-05-19,2025-05-19 20:30:00,2025-05-19 20:40:00,67.00333333333333,20:30-20:40
2025-05-30,2025-05-30 20:40:00,2025-05-30 21:00:00,230.61214911684243,20:40-21:00
2025-06-01,2025-06-01 19:00:00,2025-06-01 19:20:00,103.80214999999953,19:00-19:20
2025-06-01,2025-06-01 19:30:00,2025-06-01 19:50:00,74.5706166666663,19:30-19:50
2025-06-01,2025-06-01 20:00:00,2025-06-01 22:00:00,3786.264186666665,20:00-22:00
2025-06-02,2025-06-02 19:30:00,2025-06-02 22:00:00,6343.131708306889,19:30-22:00
2025-06-03,2025-06-03 19:40:00,2025-06-03 20:00:00,112.94056166666655,19:40-20:00
2025-06-03,2025-06-03 20:40:00,2025-06-03 20:50:00,704.929316666665,20:40-20:50
2025-06-03,2025-06-03 21:20:00,2025-06-03 21:30:00,3.915117733333135,21:20-21:30
2025-06-03,2025-06-03 21:40:00,2025-06-03 22:00:00,26.13715000000036,21:40-22:00
2025-06-04,2025-06-04 19:10:00,2025-06-04 19:20:00,54.34034999999983,19:10-19:20
2025-06-04,2025-06-04 19:50:00,2025-06-04 20:00:00,10.601743333332934,19:50-20:00
2025-06-04,2025-06-04 20:10:00,2025-06-04 21:00:00,2032.3560987562382,20:10-21:00
2025-06-04,2025-06-04 21:40:00,2025-06-04 21:50:00,16.54735399999995,21:40-21:50
2025-06-05,2025-06-05 19:00:00,2025-06-05 19:20:00,147.81639999999993,19:00-19:20
2025-06-05,2025-06-05 19:30:00,2025-06-05 19:40:00,1.1949999999999363,19:30-19:40
2025-06-05,2025-06-05 20:00:00,2025-06-05 20:10:00,31.38833333333298,20:00-20:10
2025-06-05,2025-06-05 20:40:00,2025-06-05 21:00:00,323.21953018333056,20:40-21:00
2025-06-06,2025-06-06 20:10:00,2025-06-06 21:00:00,1997.2357049999987,20:10-21:00
2025-06-06,2025-06-06 21:10:00,2025-06-06 21:30:00,65.81461666666648,21:10-21:30
2025-06-06,2025-06-06 21:50:00,2025-06-06 22:00:00,15.166668999999661,21:50-22:00
2025-06-07,2025-06-07 20:40:00,2025-06-07 21:00:00,610.2222933333296,20:40-21:00
2025-06-09,2025-06-09 20:30:00,2025-06-09 20:40:00,4.383333333333326,20:30-20:40
2025-06-14,2025-06-14 07:30:00,2025-06-14 07:40:00,25.62541780000049,07:30-07:40
2025-06-19,2025-06-19 19:30:00,2025-06-19 19:40:00,12.486666666666338,19:30-19:40
2025-07-01,2025-07-01 19:10:00,2025-07-01 19:20:00,28.47864166666659,19:10-19:20
2025-07-01,2025-07-01 19:50:00,2025-07-01 20:10:00,95.40330999999969,19:50-20:10
2025-07-02,2025-07-02 19:00:00,2025-07-02 19:50:00,148.87659499999916,19:00-19:50
2025-07-02,2025-07-02 20:00:00,2025-07-02 20:20:00,55.56773333333342,20:00-20:20
2025-07-02,2025-07-02 20:30:00,2025-07-02 22:00:00,1243.2784607201597,20:30-22:00
2025-07-03,2025-07-03 20:30:00,2025-07-03 21:00:00,633.3887722831236,20:30-21:00
2025-07-03,2025-07-03 21:10:00,2025-07-03 21:30:00,184.1587416666668,21:10-21:30
2025-07-04,2025-07-04 05:20:00,2025-07-04 06:00:00,680.1989473374481,05:20-06:00
2025-07-04,2025-07-04 20:40:00,2025-07-04 21:00:00,454.6331597765463,20:40-21:00
2025-07-04,2025-07-04 21:10:00,2025-07-04 21:20:00,18.39746666666674,21:10-21:20
2025-07-04,2025-07-04 21:40:00,2025-07-04 22:00:00,120.12267681833353,21:40-22:00
2025-07-05,2025-07-05 20:40:00,2025-07-05 21:10:00,625.9640946999971,20:40-21:10
2025-07-05,2025-07-05 21:40:00,2025-07-05 22:00:00,123.39869688333255,21:40-22:00
2025-07-06,2025-07-06 19:40:00,2025-07-06 19:50:00,38.57224166666663,19:40-19:50
2025-07-06,2025-07-06 20:00:00,2025-07-06 21:10:00,3097.396133233328,20:00-21:10
2025-07-07,2025-07-07 19:10:00,2025-07-07 19:20:00,102.10490833333347,19:10-19:20
2025-07-07,2025-07-07 19:50:00,2025-07-07 20:00:00,8.124329999999759,19:50-20:00
2025-07-07,2025-07-07 20:30:00,2025-07-07 20:40:00,7.889999999999759,20:30-20:40
2025-07-08,2025-07-08 20:00:00,2025-07-08 20:10:00,32.731666666666456,20:00-20:10
2025-07-09,2025-07-09 19:30:00,2025-07-09 19:40:00,41.879999999999654,19:30-19:40
2025-07-10,2025-07-10 20:30:00,2025-07-10 20:40:00,1.4891666666666197,20:30-20:40
2025-08-06,2025-08-06 20:40:00,2025-08-06 20:50:00,430.3249726168688,20:40-20:50
2025-08-11,2025-08-11 19:30:00,2025-08-11 19:40:00,12.769999999999754,19:30-19:40
2025-08-12,2025-08-12 20:40:00,2025-08-12 21:10:00,85.48590247314371,20:40-21:10
2025-08-14,2025-08-14 20:40:00,2025-08-14 20:50:00,5.083291666666696,20:40-20:50
2025-08-16,2025-08-16 07:10:00,2025-08-16 07:30:00,62.867529233331965,07:10-07:30
2025-08-18,2025-08-18 19:10:00,2025-08-18 19:20:00,1.6362416666664785,19:10-19:20
2025-08-18,2025-08-18 20:40:00,2025-08-18 20:50:00,14.883574999999723,20:40-20:50
2025-08-19,2025-08-19 19:30:00,2025-08-19 19:50:00,77.29885928250144,19:30-19:50
