plan_day,day_index,time_index,interval_start,interval_end,natural_day,q0_kwh,planned_grid_kwh,qfinal_kwh,price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,soc_before_kwh,confirmation_count,release_used,settlement,observation_delay_slots,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,soc_after_kwh,u_kwh,r_kwh,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-01,0,0,2025-01-01 00:10:00,2025-01-01 00:20:00,2025-01-01,1406.6410999999998,1406.6410999999998,1406.6410999999998,0.4248,588.2882666666667,0.0,6000.0,0,0,A,0,818.3528333333331,0.0,0.0,0.0,6736.51755,0.0,0.0,597.5411392799999,0.0,0.0,597.5411392799999,0.0,597.5411392799999
2025-01-01,0,1,2025-01-01 00:20:00,2025-01-01 00:30:00,2025-01-01,1406.3298666666665,1406.3298666666665,1406.3298666666665,0.4245,601.5881166666666,0.0,6736.51755,0,0,A,0,804.7417499999999,0.0,0.0,0.0,7460.785124999999,0.0,0.0,596.9870283999999,0.0,0.0,596.9870283999999,0.0,596.9870283999999
2025-01-01,0,2,2025-01-01 00:30:00,2025-01-01 00:40:00,2025-01-01,1407.38385,1407.38385,1407.38385,0.4269,621.0933333333332,0.0,7460.785124999999,0,0,A,0,786.2905166666667,0.0,0.0,0.0,8168.44659,0.0,0.0,600.812165565,0.0,0.0,600.812165565,0.0,600.812165565
2025-01-01,0,3,2025-01-01 00:40:00,2025-01-01 00:50:00,2025-01-01,1409.07395,1409.07395,1409.07395,0.4272,585.1051833333333,0.0,8168.44659,0,0,A,0,823.9687666666666,0.0,0.0,0.0,8910.018479999999,0.0,0.0,601.9563914400001,0.0,0.0,601.9563914400001,0.0,601.9563914400001
2025-01-01,0,4,2025-01-01 00:50:00,2025-01-01 01:00:00,2025-01-01,1409.8045499999998,1409.8045499999998,1409.8045499999998,0.4271,583.7604166666666,0.0,8910.018479999999,0,0,A,0,826.0441333333332,0.0,0.0,0.0,9653.4582,0.0,0.0,602.127523305,0.0,0.0,602.127523305,0.0,602.127523305
2025-01-01,0,5,2025-01-01 01:00:00,2025-01-01 01:10:00,2025-01-01,576.6400166666666,576.6400166666666,576.6400166666666,0.4285,631.1683333333333,0.0,9653.4582,0,0,A,0,0.0,54.52831666666668,0.0,0.0,9592.871181481481,0.0,0.0,247.09024714166665,0.0,0.0,247.09024714166665,0.0,247.09024714166665
2025-01-01,0,6,2025-01-01 01:10:00,2025-01-01 01:20:00,2025-01-01,577.8597,577.8597,577.8597,0.4311,650.0534166666666,0.0,9592.871181481481,0,0,A,0,0.0,72.19371666666666,0.0,0.0,9512.65594074074,0.0,0.0,249.11531666999997,0.0,0.0,249.11531666999997,0.0,249.11531666999997
2025-01-01,0,7,2025-01-01 01:20:00,2025-01-01 01:30:00,2025-01-01,577.9938666666667,577.9938666666667,577.9938666666667,0.4302,652.8062666666666,0.0,9512.65594074074,0,0,A,0,0.0,74.81239999999991,0.0,0.0,9429.53105185185,0.0,0.0,248.65296144,0.0,0.0,248.65296144,0.0,248.65296144
2025-01-01,0,8,2025-01-01 01:30:00,2025-01-01 01:40:00,2025-01-01,911.1613833333333,911.1613833333333,911.1613833333333,0.4279,636.2133333333334,0.0,9429.53105185185,0,0,A,0,274.94804999999997,0.0,0.0,0.0,9676.984296851851,0.0,0.0,389.8859559283333,0.0,0.0,389.8859559283333,0.0,389.8859559283333
2025-01-01,0,9,2025-01-01 01:40:00,2025-01-01 01:50:00,2025-01-01,580.41545,580.41545,580.41545,0.4312,588.8356,0.0,9676.984296851851,0,0,A,0,0.0,8.420150000000035,0.0,0.0,9667.628574629629,0.0,0.0,250.27514204,0.0,0.0,250.27514204,0.0,250.27514204
2025-01-01,0,10,2025-01-01 01:50:00,2025-01-01 02:00:00,2025-01-01,582.5140166666666,582.5140166666666,582.5140166666666,0.4333,615.7768833333333,0.0,9667.628574629629,0,0,A,0,0.0,33.262866666666696,0.0,0.0,9630.669833888887,0.0,0.0,252.40332342166667,0.0,0.0,252.40332342166667,0.0,252.40332342166667
2025-01-01,0,11,2025-01-01 02:00:00,2025-01-01 02:10:00,2025-01-01,583.0740499999999,583.0740499999999,583.0740499999999,0.4311,677.4549999999999,0.0,9630.669833888887,0,0,A,0,0.0,94.38094999999998,0.0,0.0,9525.802111666666,0.0,0.0,251.36322295499997,0.0,0.0,251.36322295499997,0.0,251.36322295499997
2025-01-01,0,12,2025-01-01 02:10:00,2025-01-01 02:20:00,2025-01-01,584.2049166666666,584.2049166666666,584.2049166666666,0.4293,635.1118333333333,0.0,9525.802111666666,0,0,A,0,0.0,50.90691666666669,0.0,0.0,9469.238870925925,0.0,0.0,250.79917072499998,0.0,0.0,250.79917072499998,0.0,250.79917072499998
2025-01-01,0,13,2025-01-01 02:20:00,2025-01-01 02:30:00,2025-01-01,585.4397833333333,585.4397833333333,585.4397833333333,0.4324,640.8249166666667,0.0,9469.238870925925,0,0,A,0,0.0,55.38513333333344,0.0,0.0,9407.699833888888,0.0,0.0,253.1441623133333,0.0,0.0,253.1441623133333,0.0,253.1441623133333
2025-01-01,0,14,2025-01-01 02:30:00,2025-01-01 02:40:00,2025-01-01,586.1447499999999,586.1447499999999,586.1447499999999,0.4367,705.77,0.0,9407.699833888888,0,0,A,0,0.0,119.62525000000005,0.0,0.0,9274.782889444443,0.0,0.0,255.96941232499995,0.0,0.0,255.96941232499995,0.0,255.96941232499995
2025-01-01,0,15,2025-01-01 02:40:00,2025-01-01 02:50:00,2025-01-01,586.3207666666666,586.3207666666666,586.3207666666666,0.4348,684.9959166666665,0.0,9274.782889444443,0,0,A,0,0.0,98.67514999999992,0.0,0.0,9165.143833888887,0.0,0.0,254.93226934666666,0.0,0.0,254.93226934666666,0.0,254.93226934666666
2025-01-01,0,16,2025-01-01 02:50:00,2025-01-01 03:00:00,2025-01-01,586.4253,586.4253,586.4253,0.4335,666.1490833333332,0.0,9165.143833888887,0,0,A,0,0.0,79.72378333333324,0.0,0.0,9076.561852407405,0.0,0.0,254.21536755,0.0,0.0,254.21536755,0.0,254.21536755
2025-01-01,0,17,2025-01-01 03:00:00,2025-01-01 03:10:00,2025-01-01,586.8496,586.8496,586.8496,0.4357,683.6983333333333,0.0,9076.561852407405,0,0,A,0,0.0,96.84873333333326,0.0,0.0,8968.952148703702,0.0,0.0,255.69037072,0.0,0.0,255.69037072,0.0,255.69037072
2025-01-01,0,18,2025-01-01 03:10:00,2025-01-01 03:20:00,2025-01-01,587.8210166666667,587.8210166666667,587.8210166666667,0.4374,681.0096166666666,0.0,8968.952148703702,0,0,A,0,0.0,93.18859999999995,0.0,0.0,8865.409259814813,0.0,0.0,257.11291269,0.0,0.0,257.11291269,0.0,257.11291269
2025-01-01,0,19,2025-01-01 03:20:00,2025-01-01 03:30:00,2025-01-01,589.5475666666666,589.5475666666666,589.5475666666666,0.4371,688.9604333333333,0.0,8865.409259814813,0,0,A,0,0.0,99.41286666666667,0.0,0.0,8754.950519074071,0.0,0.0,257.69124138999996,0.0,0.0,257.69124138999996,0.0,257.69124138999996
2025-01-01,0,20,2025-01-01 03:30:00,2025-01-01 03:40:00,2025-01-01,590.8134666666666,590.8134666666666,590.8134666666666,0.4356,696.53,0.0,8754.950519074071,0,0,A,0,0.0,105.71653333333336,0.0,0.0,8637.487704259256,0.0,0.0,257.35834608,0.0,0.0,257.35834608,0.0,257.35834608
2025-01-01,0,21,2025-01-01 03:40:00,2025-01-01 03:50:00,2025-01-01,590.2131166666666,590.2131166666666,590.2131166666666,0.4353,658.8951833333333,0.0,8637.487704259256,0,0,A,0,0.0,68.68206666666674,0.0,0.0,8561.174296851848,0.0,0.0,256.91976968499995,0.0,0.0,256.91976968499995,0.0,256.91976968499995
2025-01-01,0,22,2025-01-01 03:50:00,2025-01-01 04:00:00,2025-01-01,591.0662666666666,591.0662666666666,591.0662666666666,0.436,651.7916,0.0,8561.174296851848,0,0,A,0,0.0,60.725333333333424,0.0,0.0,8493.701704259256,0.0,0.0,257.70489226666666,0.0,0.0,257.70489226666666,0.0,257.70489226666666
2025-01-01,0,23,2025-01-01 04:00:00,2025-01-01 04:10:00,2025-01-01,593.3678333333332,593.3678333333332,593.3678333333332,0.4378,683.2183333333334,0.0,8493.701704259256,0,0,A,0,0.0,89.85050000000012,0.0,0.0,8393.867815370368,0.0,0.0,259.7764374333333,0.0,0.0,259.7764374333333,0.0,259.7764374333333
2025-01-01,0,24,2025-01-01 04:10:00,2025-01-01 04:20:00,2025-01-01,593.6596833333333,593.6596833333333,593.6596833333333,0.4401,687.3103833333332,0.0,8393.867815370368,0,0,A,0,0.0,93.65069999999992,0.0,0.0,8289.811482037034,0.0,0.0,261.269626635,0.0,0.0,261.269626635,0.0,261.269626635
2025-01-01,0,25,2025-01-01 04:20:00,2025-01-01 04:30:00,2025-01-01,592.7863833333333,592.7863833333333,592.7863833333333,0.4389,694.8344666666667,0.0,8289.811482037034,0,0,A,0,0.0,102.04808333333335,0.0,0.0,8176.424722777774,0.0,0.0,260.173943645,0.0,0.0,260.173943645,0.0,260.173943645
