normal_cost,adjustment_cost,emergency_cost,cash_cost,emergency_kwh,surplus_kwh,end_energy_kwh,adjustment_up_kwh,adjustment_down_kwh,date,alpha,pv_updates,adjustment,gate_passes,gate_expected_net,scenario,policy,split
22661.083442409188,0.0,0.0,22661.083442409188,0.0,5544.833219479471,6254.319398711726,0.0,0.0,2025-02-01,0.7,0,0,0,0.0,q3,static,development
56120.41536910448,0.0,357.2497380691592,56477.665107173634,51.211258324134064,6605.168884286611,6344.2030792050655,0.0,0.0,2025-02-02,0.7,0,0,0,0.0,q3,static,development
56245.064815427286,0.0,1023.318378654767,57268.38319408205,146.69128134385994,5219.738381383536,6206.285462999386,0.0,0.0,2025-02-03,0.7,0,0,0,0.0,q3,static,development
57367.18542295527,0.0,0.0,57367.18542295527,0.0,5163.675828389808,6253.813475577892,0.0,0.0,2025-02-04,0.7,0,0,0,0.0,q3,static,development
55954.40522541203,0.0,712.7317530869329,56667.136978498966,102.16911598149841,3966.0416601027046,6205.313451004462,0.0,0.0,2025-02-05,0.7,0,0,0,0.0,q3,static,development
57197.24201325599,0.0,213.27678001749385,57410.518793273484,33.996739858203455,6392.775548005948,6161.522253611699,0.0,0.0,2025-02-06,0.7,0,0,0,0.0,q3,static,development
22340.729411247907,0.0,0.0,22340.729411247907,0.0,7839.848447310118,6206.863638659238,0.0,0.0,2025-02-07,0.7,0,0,0,0.0,q3,static,development
18985.409967684995,0.0,1279.8362921515482,20265.246259836542,209.36304468371475,1609.5002531761472,6210.999380688048,0.0,0.0,2025-02-08,0.7,0,0,0,0.0,q3,static,development
53367.02933094255,0.0,0.0,53367.02933094255,0.0,889.5008759663453,6252.825708076119,0.0,0.0,2025-02-09,0.7,0,0,0,0.0,q3,static,development
52506.074520546,0.0,9.24926580253768,52515.323786348534,1.9746511107040305,5833.647630334326,6074.753868195006,0.0,0.0,2025-02-10,0.7,0,0,0,0.0,q3,static,development
52244.438328119286,0.0,167.74681868149756,52412.18514680078,35.812728155742434,4052.524856258638,6093.6174432023545,0.0,0.0,2025-02-11,0.7,0,0,0,0.0,q3,static,development
