plan_day,cash_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_supply_kwh,end_soc_kwh
2025-02-01,19583.860281146313,19583.860281146313,0.0,0.0,8204.698307283947,10763.422721872588
2025-02-02,59197.079429033205,59197.079429033205,0.0,0.0,4947.972713813952,5795.003375925927
2025-02-03,62418.03929097419,62418.03929097419,0.0,0.0,3334.9885770164647,5331.946156899076
2025-02-04,63144.45657554315,63144.45657554315,0.0,0.0,2703.6777413168747,5228.991917666665
2025-02-05,63795.11767629023,63795.11767629023,0.0,0.0,1892.5394421184806,5178.903288863543
2025-02-06,63182.29237983139,63182.29237983139,0.0,0.0,1994.3239227297647,5345.283224271842
2025-02-07,19078.18955740574,19078.18955740574,0.0,0.0,4827.22306666409,10356.503049074074
2025-02-08,15965.898303714535,15965.898303714535,0.0,0.0,2814.2608299999993,10158.339259740285
2025-02-09,61096.51196472821,61096.51196472821,0.0,0.0,1483.797266476337,7924.2484600020025
2025-02-10,57272.018099212044,57272.018099212044,0.0,0.0,2442.699940920774,6374.1671507731535
2025-02-11,56853.70900280132,55911.06595268157,942.643050119744,147.18534850972185,1565.7764020190307,3784.455676759259
2025-02-12,60851.596363721284,60152.086290569394,699.5100731518944,124.53906256597372,1379.92686177983,6421.685574858797
2025-02-13,56423.89609903532,55997.639660036584,426.2564389987359,74.91366686527692,2623.8089585521234,7251.987507685185
2025-02-14,16388.253705677835,16388.253705677835,0.0,0.0,3213.2110706790036,10086.8349045
2025-02-15,16001.194920662367,16001.194920662367,0.0,0.0,3081.53188627058,10189.697498998457
2025-02-16,55238.719927078724,54408.23575050293,830.4841765757991,167.79809235000295,26.26556833333325,7493.316869224537
2025-02-17,53351.707255018446,53351.707255018446,0.0,0.0,1095.768998564807,7150.193318551699
2025-02-18,52122.04766585862,52122.04766585862,0.0,0.0,664.8483809953744,5773.177885976081
2025-02-19,57817.42557956397,53260.6825320658,4556.743047498169,872.415101402926,1301.9755764231284,5318.367927222222
2025-02-20,52996.18924762904,52950.17116921154,46.01807841749935,8.202134999999885,1093.566554372419,5749.285074120472
2025-02-21,16851.424060043646,16851.424060043646,0.0,0.0,5796.182143120712,10138.719884185191
2025-02-22,15822.972700917771,15789.4895075709,33.483193346873094,6.9194447916662725,3591.1344519391314,10340.837226959775
2025-02-23,50075.730773436866,50075.730773436866,0.0,0.0,259.54199489569453,6650.888296580254
2025-02-24,50762.964231302445,50526.92215397637,236.04207732607597,46.19670756944436,1851.257791662435,6322.912680028548
2025-02-25,48712.51146541224,48367.888056394324,344.6234090179161,66.64276083333323,1472.0869136669223,7242.736854633088
2025-02-26,48544.3895783938,48544.3895783938,0.0,0.0,973.166314627915,5534.843456803138
2025-02-27,52535.63369842003,48222.28259602493,4313.351102395098,816.5194569727125,964.9131767525579,9426.337715426618
2025-02-28,13936.51705514492,13936.51705514492,0.0,0.0,6636.288775504118,9982.669966629857
2025-03-01,14447.361527029872,14447.361527029872,0.0,0.0,6505.567522734061,10277.866109145833
2025-03-02,54446.63253904996,54446.63253904996,0.0,0.0,1334.7543790097684,7154.440844550926
2025-03-03,52699.009254524135,52699.009254524135,0.0,0.0,489.4736648299688,6318.689560347994
2025-03-04,53132.24605297631,51837.89869755844,1294.3473554178695,237.62476539853014,94.82886958333336,4829.0076325
2025-03-05,52271.94919337954,51997.11266640843,274.8365269711122,48.35248222222242,345.7407231867279,7300.911718710651
2025-03-06,51494.47668911729,51170.39502382792,324.0816652893739,58.188646249999806,671.599218713988,9799.78533376179
2025-03-07,15576.889550806825,15576.889550806825,0.0,0.0,8864.641675905348,10797.57747101929
2025-03-08,12953.769630233632,12953.769630233632,0.0,0.0,9671.613802101849,10288.669751833331
2025-03-09,44523.57016558714,44523.57016558714,0.0,0.0,1519.785094567897,6708.028023050154
2025-03-10,47875.69895229387,47875.69895229387,0.0,0.0,49.330741666666995,7126.560824277783
2025-03-11,47427.82988787051,47421.30993876096,6.519949109549224,1.1555071527778864,1025.7872465277767,8298.975326289561
2025-03-12,43923.15458388153,43923.15458388153,0.0,0.0,71.77444180555574,6212.237618302467
2025-03-13,49925.14795206054,49925.14795206054,0.0,0.0,2024.9372960836683,6260.049156918383
2025-03-14,14301.255800589734,14301.255800589734,0.0,0.0,11447.231361479333,10800.0
2025-03-15,13268.981961585749,12987.247310292032,281.7346512937172,89.14742868055619,7078.013201331734,9876.085326166112
2025-03-16,45138.05498265123,45129.973882651226,8.081099999999934,1.6399999999999864,2343.330003430218,8151.958886269259
2025-03-17,41070.67444552182,41070.67444552182,0.0,0.0,934.5674537688657,5158.182938240743
2025-03-18,44724.68811370393,44724.68811370393,0.0,0.0,964.8842385819657,9667.057345185187
2025-03-19,39678.07812914302,39678.07812914302,0.0,0.0,1980.2346140540733,5630.6210620925885
2025-03-20,44090.61268611478,44090.61268611478,0.0,0.0,731.0455482115958,7180.76168374163
2025-03-21,14046.635034157516,14046.635034157516,0.0,0.0,14971.07627770185,10422.82825977778
2025-03-22,12988.97855499008,12988.97855499008,0.0,0.0,11006.31666580394,10616.652837074078
2025-03-23,41379.192382170266,41379.192382170266,0.0,0.0,2465.6387042772553,6842.028375787927
2025-03-24,41823.03783860601,41823.03783860601,0.0,0.0,1894.1329859883708,7524.009425930977
2025-03-25,41798.79412435763,41798.79412435763,0.0,0.0,960.2949617592569,6769.481073722221
2025-03-26,39762.81974011932,39762.81974011932,0.0,0.0,1936.999876680394,7369.0135456481485
2025-03-27,40765.046066670555,40765.046066670555,0.0,0.0,1651.7568688314473,8285.414770166673
2025-03-28,12432.546093656834,12432.546093656834,0.0,0.0,14839.449310527125,10323.035628756177
2025-03-29,12662.092719262373,12662.092719262373,0.0,0.0,18697.77425668725,10800.0
2025-03-30,36530.55212572752,36530.55212572752,0.0,0.0,1271.359358515974,8200.95751814815
2025-03-31,37996.602456829016,37996.602456829016,0.0,0.0,646.3388914368996,6015.809501240744
2025-04-01,44811.163713787435,44811.163713787435,0.0,0.0,3107.6513256264293,3785.147108179626
2025-04-02,51184.09743437688,50815.940554348934,368.1568800279483,57.565233195471365,6185.95253824012,8355.524066296297
2025-04-03,39021.35633980621,39021.35633980621,0.0,0.0,1306.0378846418348,7390.473150450408
2025-04-04,12403.245267283,12403.245267283,0.0,0.0,19208.832037491746,10800.0
2025-04-05,11433.008413589416,11433.008413589416,0.0,0.0,13584.674364053295,10143.509353407408
2025-04-06,37872.962762995034,37872.962762995034,0.0,0.0,1579.0885151519258,9227.33129789223
2025-04-07,35731.28063642888,35731.28063642888,0.0,0.0,3728.8085507510364,6783.88291537037
2025-04-08,37615.179606343154,37615.179606343154,0.0,0.0,1992.9345166616313,6905.768999484568
