plan_day,time_index,issue_time,interval_start,interval_end,price_source_completed_at,price_model_id,selected_candidate,forecast_model_id,time_mapping,battery_interpretation,settlement_rule,residual_history_cutoff,planned_initial_energy_kwh,executed_initial_energy_kwh,planned_initial_source,load_actual_kw,pv_actual_kw,planned_grid_kwh,final_grid_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,actual_soc_before_kwh,actual_soc_after_kwh,price_forecast_yuan_per_kwh,price_actual_yuan_per_kwh,base_cost_yuan,up_cost_yuan,down_cost_yuan,emergency_cost_yuan,ordinary_cost_yuan,cash_cost_yuan,load_forecast_kw,pv_forecast_kw
2025-03-20,0,2025-03-20T00:00:00,2025-03-20 00:10:00,2025-03-20 00:20:00,2025-03-13 00:20:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3299.0689,0.0,599.071825,599.071825,0.0,0.0,49.22700833333329,0.0,0.0,0.0,5585.300217648144,5629.604525148144,0.4376,0.4487,268.80352787749996,0.0,0.0,0.0,268.80352787749996,268.80352787749996,3509.4078,0.0
2025-03-20,1,2025-03-20T00:00:00,2025-03-20 00:20:00,2025-03-20 00:30:00,2025-03-13 00:30:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3421.881,0.0,600.2197916666667,600.2197916666667,0.0,0.0,29.906291666666675,0.0,0.0,0.0,5629.604525148144,5656.520187648143,0.4576,0.4373,262.47611489583335,0.0,0.0,0.0,262.47611489583335,262.47611489583335,3483.82755,0.0
2025-03-20,2,2025-03-20T00:00:00,2025-03-20 00:30:00,2025-03-20 00:40:00,2025-03-13 00:40:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3683.11,0.0,586.6341666666667,586.6341666666667,0.0,0.0,0.0,27.217499999999973,0.0,0.0,5656.520187648143,5626.2785209814765,0.4673,0.4311,252.89798925000002,0.0,0.0,0.0,252.89798925000002,252.89798925000002,3505.52,0.0
2025-03-20,3,2025-03-20T00:00:00,2025-03-20 00:40:00,2025-03-20 00:50:00,2025-03-13 00:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3476.737,0.0,575.7253666666667,575.7253666666667,0.0,0.0,0.0,3.730799999999931,0.0,0.0,5626.2785209814765,5622.133187648144,0.4657,0.4344,250.09509928,0.0,0.0,0.0,250.09509928,250.09509928,3515.11515,0.0
2025-03-20,4,2025-03-20T00:00:00,2025-03-20 00:50:00,2025-03-20 01:00:00,2025-03-13 01:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3302.6695,0.0,570.6444166666666,570.6444166666666,0.0,0.0,20.199500000000057,0.0,0.0,0.0,5622.133187648144,5640.312737648143,0.4651,0.4238,241.83910378333334,0.0,0.0,0.0,241.83910378333334,241.83910378333334,3486.36705,0.0
2025-03-20,5,2025-03-20T00:00:00,2025-03-20 01:00:00,2025-03-20 01:10:00,2025-03-13 01:10:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3426.94,0.0,570.4641666666665,570.4641666666665,0.0,0.0,0.0,0.6925000000001091,0.0,0.0,5640.312737648143,5639.543293203699,0.452,0.4296,245.07140599999994,0.0,0.0,0.0,245.07140599999994,245.07140599999994,3449.965,0.0
2025-03-20,6,2025-03-20T00:00:00,2025-03-20 01:10:00,2025-03-20 01:20:00,2025-03-13 01:20:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3609.5343,0.0,1377.0195916666664,1377.0195916666664,0.0,0.0,775.4305416666665,0.0,0.0,0.0,5639.543293203699,6337.430780703699,0.4051,0.4989,686.9950742824999,0.0,0.0,0.0,686.9950742824999,686.9950742824999,3449.5696,0.0
2025-03-20,7,2025-03-20T00:00:00,2025-03-20 01:20:00,2025-03-20 01:30:00,2025-03-13 01:30:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3668.9025,0.0,1370.233025,1370.233025,0.0,0.0,758.749275,0.0,0.0,0.0,6337.430780703699,7020.3051282036995,0.3862,0.5083,696.4894466075,0.0,0.0,0.0,696.4894466075,696.4894466075,3399.09245,0.0
2025-03-20,8,2025-03-20T00:00:00,2025-03-20 01:30:00,2025-03-20 01:40:00,2025-03-13 01:40:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3589.3,0.0,572.9225000000001,572.9225000000001,0.0,0.0,0.0,25.29416666666657,0.0,0.0,7020.3051282036995,6992.20049857407,0.406,0.4468,255.98177300000003,0.0,0.0,0.0,255.98177300000003,255.98177300000003,3333.25,0.0
2025-03-20,9,2025-03-20T00:00:00,2025-03-20 01:40:00,2025-03-20 01:50:00,2025-03-13 01:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3503.6157,0.0,602.5348583333331,602.5348583333331,0.0,0.0,18.598908333333156,0.0,0.0,0.0,6992.20049857407,7008.93951607407,0.4177,0.4284,258.1259333099999,0.0,0.0,0.0,258.1259333099999,258.1259333099999,3391.8701499999997,0.0
2025-03-20,10,2025-03-20T00:00:00,2025-03-20 01:50:00,2025-03-20 02:00:00,2025-03-13 02:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3545.9703,0.0,602.7612666666665,602.7612666666665,0.0,0.0,11.766216666666537,0.0,0.0,0.0,7008.93951607407,7019.529111074069,0.4309,0.4436,267.3848978933333,0.0,0.0,0.0,267.3848978933333,267.3848978933333,3519.48215,0.0
2025-03-20,11,2025-03-20T00:00:00,2025-03-20 02:00:00,2025-03-20 02:10:00,2025-03-13 02:10:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3590.66,0.0,634.0591666666666,634.0591666666666,0.0,0.0,35.615833333333285,0.0,0.0,0.0,7019.529111074069,7051.583361074069,0.4209,0.454,287.8628616666666,0.0,0.0,0.0,287.8628616666666,287.8628616666666,3594.105,0.0
2025-03-20,12,2025-03-20T00:00:00,2025-03-20 02:10:00,2025-03-20 02:20:00,2025-03-13 02:20:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3395.9017,0.0,1371.2531083333333,1371.2531083333333,0.0,0.0,805.2694916666667,0.0,0.0,0.0,7051.583361074069,7776.325903574069,0.3604,0.4404,603.89986891,0.0,0.0,0.0,603.89986891,603.89986891,3529.2006499999998,0.0
2025-03-20,13,2025-03-20T00:00:00,2025-03-20 02:20:00,2025-03-20 02:30:00,2025-03-13 02:30:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3276.7246,0.0,1369.8734749999999,1369.8734749999999,0.0,0.0,823.7527083333332,0.0,0.0,0.0,7776.325903574069,8517.70334107407,0.3984,0.4405,603.4292657374999,0.0,0.0,0.0,603.4292657374999,603.4292657374999,3441.9577,0.0
2025-03-20,14,2025-03-20T00:00:00,2025-03-20 02:30:00,2025-03-20 02:40:00,2025-03-13 02:40:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3394.28,0.0,574.0775,574.0775,0.0,0.0,8.36416666666662,0.0,0.0,0.0,8517.70334107407,8525.231091074069,0.4933,0.4545,260.91822375,0.0,0.0,0.0,260.91822375,260.91822375,3454.54,0.0
2025-03-20,15,2025-03-20T00:00:00,2025-03-20 02:40:00,2025-03-20 02:50:00,2025-03-13 02:50:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3587.5594,0.0,592.6753712280766,592.6753712280766,0.0,0.0,0.0,5.251195438590003,0.0,0.0,8525.231091074069,8519.396429475635,0.4528,0.4389,260.12522043200283,0.0,0.0,0.0,260.12522043200283,260.12522043200283,3589.9057000000003,0.0
2025-03-20,16,2025-03-20T00:00:00,2025-03-20 02:50:00,2025-03-20 03:00:00,2025-03-13 03:00:00,PRICE-LAG7-COMPLETED,nocvar_g0.02,Q2V2-SW2-REC5,A,A,A,2025-03-20T00:00:00,5570.701467648144,5585.300217648144,previous_confirmed_final_slot_and_issued_load_pv_forecast,3605.7268,0.0,592.8858083333334,592.8858083333334,0.0,0.0,0.0,8.068658333333133,0.0,0.0,8519.396429475635,8510.43125354971,0.4151,0.3868,229.32823066333336,0.0,0.0,0.0,229.32823066333336,229.32823066333336,3665.59475,0.0
