plan_day,cash_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,emergency_kwh,unused_supply_kwh,end_soc_kwh,daily_cvar95_yuan
2025-02,1260020.3468879976,1247591.19224115,12429.154646847805,2331.3317768610577,72237.4336284998,9982.669966629857,63488.70502806081
2025-03,1115156.3792346686,1112966.777986587,2189.601248081622,436.1088297040864,128490.27925578416,6015.809501240744,53789.43929601314
2025-04,911818.5582154895,908446.858923212,3371.6992922774025,614.405609783305,207105.25104154812,7874.476051203703,47997.630574082155
2025-05,943169.8446639925,924247.2446039272,18922.60006006535,3143.393091408654,206872.8019620885,10707.299074074073,42077.62336790438
2025-06,1403082.3951584026,1401229.8222114933,1852.5729469091993,312.2207981694442,98048.65348280189,5343.683426716052,60566.84050121374
2025-07,1732906.3918539598,1714977.1200078153,17929.271846144526,4422.358756104162,194519.02352656538,5348.372706788981,72462.06553875816
2025-08,1394724.4109595893,1388805.1833125479,5919.2276470415145,779.6086290048545,240905.2927152594,2788.183312407409,59531.86116929738
2025-09,1125325.6683127505,1117998.4500477237,7327.218265026784,1690.3277440756879,229531.10506966547,3753.417723539628,47809.114370054005
2025-10,1105390.031505596,1098510.753863059,6879.277642536857,1306.24226211036,151501.28117863595,7805.144107157596,50821.38683711719
2025-11,1306467.9021428581,1303940.4939742244,2527.408168633641,447.634128795137,66868.83940625026,7699.390652355513,60833.36394919905
2025-12,1918985.39319048,1912691.463958386,6293.929232093873,956.4680137943923,103764.08375502772,7174.897846148145,81364.61830681804
