plan_day,time_index,issue_time,interval_start,interval_end,price_source_completed_at,price_model_id,selected_candidate,forecast_model_id,time_mapping,battery_interpretation,settlement_rule,residual_history_cutoff,planned_initial_energy_kwh,executed_initial_energy_kwh,planned_initial_source,load_actual_kw,pv_actual_kw,planned_grid_kwh,final_grid_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,actual_soc_before_kwh,actual_soc_after_kwh,price_forecast_yuan_per_kwh,price_actual_yuan_per_kwh,base_cost_yuan,up_cost_yuan,down_cost_yuan,emergency_cost_yuan,ordinary_cost_yuan,cash_cost_yuan,confirmation_count,load_forecast_kw,pv_forecast_kw,release_used
2025-01-01,0,2025-01-01T00:00:00,2025-01-01 00:10:00,2025-01-01 00:20:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3529.7296,0.0,1406.6410999999998,1406.6410999999998,0.0,0.0,818.3528333333331,0.0,0.0,0.0,6000.0,6736.51755,0.4248,0.4527,636.7864259699999,0.0,-0.0,0.0,636.7864259699999,636.7864259699999,0,3439.8466,0.0,0
2025-01-01,1,2025-01-01T00:00:00,2025-01-01 00:20:00,2025-01-01 00:30:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3609.5287,0.0,1406.3298666666665,1406.3298666666665,0.0,0.0,804.7417499999999,0.0,0.0,0.0,6736.51755,7460.785124999999,0.4245,0.4733,665.6159258933333,0.0,-0.0,0.0,665.6159258933333,665.6159258933333,0,3437.9792,0.0,0
2025-01-01,2,2025-01-01T00:00:00,2025-01-01 00:30:00,2025-01-01 00:40:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3726.56,0.0,1407.38385,1407.38385,0.0,0.0,786.2905166666667,0.0,0.0,0.0,7460.785124999999,8168.44659,0.4269,0.4843,681.5959985549999,0.0,-0.0,0.0,681.5959985549999,681.5959985549999,0,3444.3031,0.0,0
2025-01-01,3,2025-01-01T00:00:00,2025-01-01 00:40:00,2025-01-01 00:50:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3510.6311,0.0,1409.07395,1409.07395,0.0,0.0,823.9687666666666,0.0,0.0,0.0,8168.44659,8910.018479999999,0.4272,0.4541,639.860480695,0.0,-0.0,0.0,639.860480695,639.860480695,0,3454.4437,0.0,0
2025-01-01,4,2025-01-01T00:00:00,2025-01-01 00:50:00,2025-01-01 01:00:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3502.5625,0.0,1409.8045499999998,1409.8045499999998,0.0,0.0,826.0441333333332,0.0,0.0,0.0,8910.018479999999,9653.4582,0.4271,0.4266,601.4226210299998,0.0,-0.0,0.0,601.4226210299998,601.4226210299998,0,3458.8273,0.0,0
2025-01-01,5,2025-01-01T00:00:00,2025-01-01 01:00:00,2025-01-01 01:10:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3787.01,0.0,576.6400166666666,576.6400166666666,0.0,0.0,0.0,54.52831666666668,0.0,0.0,9653.4582,9592.871181481481,0.4285,0.4311,248.58951118499996,0.0,-0.0,0.0,248.58951118499996,248.58951118499996,0,3459.8401,0.0,0
2025-01-01,6,2025-01-01T00:00:00,2025-01-01 01:10:00,2025-01-01 01:20:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3900.3205,0.0,577.8597,577.8597,0.0,0.0,0.0,72.19371666666666,0.0,0.0,9592.871181481481,9512.65594074074,0.4311,0.4544,262.57944768,0.0,-0.0,0.0,262.57944768,262.57944768,0,3467.1582,0.0,0
2025-01-01,7,2025-01-01T00:00:00,2025-01-01 01:20:00,2025-01-01 01:30:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3916.8376,0.0,577.9938666666667,577.9938666666667,0.0,0.0,0.0,74.81239999999991,0.0,0.0,9512.65594074074,9429.53105185185,0.4302,0.4483,259.1146504266667,0.0,-0.0,0.0,259.1146504266667,259.1146504266667,0,3467.9632,0.0,0
2025-01-01,8,2025-01-01T00:00:00,2025-01-01 01:30:00,2025-01-01 01:40:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3817.28,0.0,911.1613833333333,911.1613833333333,0.0,0.0,274.94804999999997,0.0,0.0,0.0,9429.53105185185,9676.984296851851,0.4279,0.4251,387.334704055,0.0,-0.0,0.0,387.334704055,387.334704055,0,3466.9683,0.0,0
2025-01-01,9,2025-01-01T00:00:00,2025-01-01 01:40:00,2025-01-01 01:50:00,2024-12-31,ATTACHMENT1-DECLARED-PRIOR,cvar_t0.90_r0.05_g0.00,Q2V2-SW2-REC5,A,A,B,2025-01-01T00:00:00,6000.0,6000.0,previous_confirmed_final_slot_and_issued_load_pv_forecast,3533.0136,0.0,580.41545,580.41545,0.0,0.0,0.0,8.420150000000035,0.0,0.0,9676.984296851851,9667.628574629629,0.4312,0.444,257.7044598,0.0,-0.0,0.0,257.7044598,257.7044598,0,3482.4927,0.0,0
