day_index,release_hour,time_index,issue_time,source_completed_at,price_forecast_yuan_per_kwh,price_model_id
0,6,35,2025-01-01 06:00:00,2024-12-31,0.9099,ATTACHMENT1-DECLARED-PRIOR
0,6,36,2025-01-01 06:00:00,2024-12-31,0.9368,ATTACHMENT1-DECLARED-PRIOR
0,6,37,2025-01-01 06:00:00,2024-12-31,0.8758,ATTACHMENT1-DECLARED-PRIOR
0,6,38,2025-01-01 06:00:00,2024-12-31,0.8759,ATTACHMENT1-DECLARED-PRIOR
0,6,39,2025-01-01 06:00:00,2024-12-31,0.8601,ATTACHMENT1-DECLARED-PRIOR
0,6,40,2025-01-01 06:00:00,2024-12-31,0.8442,ATTACHMENT1-DECLARED-PRIOR
0,6,41,2025-01-01 06:00:00,2024-12-31,0.8334,ATTACHMENT1-DECLARED-PRIOR
0,6,42,2025-01-01 06:00:00,2024-12-31,0.8092,ATTACHMENT1-DECLARED-PRIOR
0,6,43,2025-01-01 06:00:00,2024-12-31,0.7972,ATTACHMENT1-DECLARED-PRIOR
0,6,44,2025-01-01 06:00:00,2024-12-31,0.7644,ATTACHMENT1-DECLARED-PRIOR
0,6,45,2025-01-01 06:00:00,2024-12-31,0.6899,ATTACHMENT1-DECLARED-PRIOR
0,6,46,2025-01-01 06:00:00,2024-12-31,0.86,ATTACHMENT1-DECLARED-PRIOR
0,6,47,2025-01-01 06:00:00,2024-12-31,1.1617,ATTACHMENT1-DECLARED-PRIOR
0,6,48,2025-01-01 06:00:00,2024-12-31,1.1683,ATTACHMENT1-DECLARED-PRIOR
0,6,49,2025-01-01 06:00:00,2024-12-31,1.0956,ATTACHMENT1-DECLARED-PRIOR
0,6,50,2025-01-01 06:00:00,2024-12-31,1.0849,ATTACHMENT1-DECLARED-PRIOR
0,6,51,2025-01-01 06:00:00,2024-12-31,1.061,ATTACHMENT1-DECLARED-PRIOR
0,6,52,2025-01-01 06:00:00,2024-12-31,1.043,ATTACHMENT1-DECLARED-PRIOR
0,6,53,2025-01-01 06:00:00,2024-12-31,1.036,ATTACHMENT1-DECLARED-PRIOR
0,6,54,2025-01-01 06:00:00,2024-12-31,1.0147,ATTACHMENT1-DECLARED-PRIOR
0,6,55,2025-01-01 06:00:00,2024-12-31,0.9922,ATTACHMENT1-DECLARED-PRIOR
0,6,56,2025-01-01 06:00:00,2024-12-31,0.97,ATTACHMENT1-DECLARED-PRIOR
0,6,57,2025-01-01 06:00:00,2024-12-31,0.9422,ATTACHMENT1-DECLARED-PRIOR
0,6,58,2025-01-01 06:00:00,2024-12-31,0.9569,ATTACHMENT1-DECLARED-PRIOR
0,6,59,2025-01-01 06:00:00,2024-12-31,0.9977,ATTACHMENT1-DECLARED-PRIOR
