interval_start,step,release_used,q0_kwh,qfinal_kwh,load_actual_kwh,pv_actual_kwh,price_actual_yuan_per_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,soc_before_kwh,soc_after_kwh
2025-02-01 00:10:00,0,0,1073.4715867695406,1073.4715867695406,422.0303666666667,0.0,0.3281,651.441220102874,0.0,0.0,0.0,6493.453033407413,7079.7501315
2025-02-01 00:20:00,1,0,444.8232166666666,444.8232166666666,415.4073166666667,0.0,0.3257,29.41589999999991,0.0,0.0,0.0,7079.7501315,7106.2244415
2025-02-01 00:30:00,2,0,1282.0566666666666,1282.0566666666666,410.7166666666667,0.0,0.3041,833.3333333333333,0.0,0.0,38.00666666666666,7106.2244415,7856.2244415
2025-02-01 00:40:00,3,0,1305.40142,1305.40142,430.29479999999995,0.0,0.3126,833.3333333333333,0.0,0.0,41.77328666666676,7856.2244415,8606.224441499999
2025-02-01 00:50:00,4,0,1335.5768883333333,1335.5768883333333,424.4105833333333,0.0,0.3286,833.3333333333333,0.0,0.0,77.83297166666671,8606.224441499999,9356.224441499999
2025-02-01 01:00:00,5,0,512.6176666666667,512.6176666666667,406.0516666666666,0.0,0.3438,106.56600000000003,0.0,0.0,0.0,9356.224441499999,9452.1338415
2025-02-01 01:10:00,6,0,494.6423766666667,494.6423766666667,436.7501833333333,0.0,0.3704,57.89219333333335,0.0,0.0,0.0,9452.1338415,9504.236815499999
2025-02-01 01:20:00,7,0,465.42127833333325,465.42127833333325,451.7976833333333,0.0,0.3746,13.623594999999966,0.0,0.0,0.0,9504.236815499999,9516.498050999999
2025-02-01 01:30:00,8,0,470.7793333333333,470.7793333333333,446.08,0.0,0.3606,24.6993333333333,0.0,0.0,0.0,9516.498050999999,9538.727450999999
2025-02-01 01:40:00,9,0,484.4030783333333,484.4030783333333,471.7663333333333,0.0,0.3582,12.636745000000019,0.0,0.0,0.0,9538.727450999999,9550.100521499999
2025-02-01 01:50:00,10,0,509.6757516666667,509.6757516666667,448.02596666666665,0.0,0.3041,61.649785000000065,0.0,0.0,0.0,9550.100521499999,9605.585328
2025-02-01 02:00:00,11,0,1363.0483333333332,1363.0483333333332,397.4033333333333,0.0,0.2537,833.3333333333333,0.0,0.0,132.3116666666666,9605.585328,10355.585328
2025-02-01 02:10:00,12,0,1336.3268016666666,1336.3268016666666,434.0906333333333,0.0,0.3346,493.79408000000086,0.0,0.0,408.4420883333325,10355.585328,10800.0
2025-02-01 02:20:00,13,0,511.8176183333334,511.8176183333334,490.5609166666666,0.0,0.3971,0.0,0.0,0.0,21.2567016666668,10800.0,10800.0
2025-02-01 02:30:00,14,0,517.4465,517.4465,503.22,0.0,0.367,0.0,0.0,0.0,14.226499999999987,10800.0,10800.0
2025-02-01 02:40:00,15,0,499.7863749999999,499.7863749999999,474.07281666666665,0.0,0.3185,0.0,0.0,0.0,25.713558333333253,10800.0,10800.0
2025-02-01 02:50:00,16,0,516.043985,516.043985,461.38439999999997,0.0,0.3285,0.0,0.0,0.0,54.65958500000005,10800.0,10800.0
2025-02-01 03:00:00,17,0,528.4479999999999,528.4479999999999,476.94166666666666,0.0,0.3772,0.0,0.0,0.0,51.5063333333332,10800.0,10800.0
2025-02-01 03:10:00,18,0,523.3889466666667,523.3889466666667,483.39955,0.0,0.3815,0.0,0.0,0.0,39.98939666666672,10800.0,10800.0
2025-02-01 03:20:00,19,0,508.0077966666667,508.0077966666667,486.6019166666666,0.0,0.3822,0.0,0.0,0.0,21.40588000000008,10800.0,10800.0
2025-02-01 03:30:00,20,0,507.5975,507.5975,498.84833333333336,0.0,0.3962,0.0,0.0,0.0,8.749166666666667,10800.0,10800.0
2025-02-01 03:40:00,21,0,502.31668833333333,502.31668833333333,518.3097333333333,0.0,0.3879,0.0,15.993044999999938,0.0,0.0,10800.0,10782.22995
2025-02-01 03:50:00,22,0,531.842005,531.842005,509.13346666666666,0.0,0.3405,19.744499999999082,0.0,0.0,2.9640383333342264,10782.22995,10800.0
2025-02-01 04:00:00,23,0,570.8811666666667,570.8811666666667,483.6166666666666,0.0,0.3164,0.0,0.0,0.0,87.26450000000006,10800.0,10800.0
2025-02-01 04:10:00,24,0,552.2193966666667,552.2193966666667,491.1868,0.0,0.3916,0.0,0.0,0.0,61.032596666666734,10800.0,10800.0
2025-02-01 04:20:00,25,0,529.6018366666666,529.6018366666666,504.64528333333334,0.0,0.4109,0.0,0.0,0.0,24.95655333333326,10800.0,10800.0
2025-02-01 04:30:00,26,0,549.5954999999999,549.5954999999999,505.57833333333326,0.0,0.361,0.0,0.0,0.0,44.01716666666664,10800.0,10800.0
2025-02-01 04:40:00,27,0,572.23526,572.23526,503.23096666666663,0.0,0.3799,0.0,0.0,0.0,69.00429333333341,10800.0,10800.0
2025-02-01 04:50:00,28,0,580.7916316666666,580.7916316666666,502.84698333333336,0.00023333333333333333,0.4094,0.0,0.0,0.0,77.94488166666656,10800.0,10800.0
2025-02-01 05:00:00,29,0,558.6684999999999,558.6684999999999,499.64166666666665,0.0,0.4052,0.0,0.0,0.0,59.02683333333323,10800.0,10800.0
2025-02-01 05:10:00,30,0,563.9522433333333,563.9522433333333,488.78358333333335,0.0,0.3896,0.0,0.0,0.0,75.16865999999993,10800.0,10800.0
2025-02-01 05:20:00,31,0,579.8012766666666,579.8012766666666,498.51875,0.0033166666666666665,0.3908,0.0,0.0,0.0,81.28584333333328,10800.0,10800.0
2025-02-01 05:30:00,32,0,574.3546666666666,574.3546666666666,529.2233333333334,0.0,0.3821,0.0,0.0,0.0,45.13133333333326,10800.0,10800.0
2025-02-01 05:40:00,33,0,580.4539283333332,580.4539283333332,547.4103166666666,0.0,0.3475,0.0,0.0,0.0,33.04361166666661,10800.0,10800.0
2025-02-01 05:50:00,34,0,0.0,0.0,531.2274,0.04623333333333333,0.5182,0.0,531.1811666666666,0.0,0.0,10800.0,10209.798703703704
2025-02-01 06:00:00,35,0,0.0,0.0,510.98333333333335,0.0,0.8102,0.0,510.98333333333335,0.0,0.0,10209.798703703704,9642.039444444445
2025-02-01 06:10:00,36,0,0.0,0.0,535.1871833333332,0.0,0.8756,0.0,535.1871833333332,0.0,0.0,9642.039444444445,9047.387018518519
2025-02-01 06:20:00,37,0,0.0,0.0,533.9993499999999,0.6440166666666667,0.818,0.0,533.3553333333333,0.0,0.0,9047.387018518519,8454.769981481482
2025-02-01 06:30:00,38,0,0.0,0.0,504.52,0.0,0.7708,0.0,504.52,0.0,0.0,8454.769981481482,7894.192203703705
2025-02-01 06:40:00,39,0,0.0,0.0,519.5536833333333,0.0,0.7715,0.0,519.5536833333333,0.0,0.0,7894.192203703705,7316.910333333334
2025-02-01 06:50:00,40,0,0.0,0.0,566.415,14.934916666666666,0.8181,0.0,551.4800833333333,0.0,0.0,7316.910333333334,6704.154685185186
2025-02-01 07:00:00,41,0,0.0,0.0,608.7916666666666,56.75,0.8678,0.0,552.0416666666666,0.0,0.0,6704.154685185186,6090.775055555557
2025-02-01 07:10:00,42,0,0.0,0.0,617.2140499999999,102.656,0.864,0.0,514.5580499999999,0.0,0.0,6090.775055555557,5519.04388888889
2025-02-01 07:20:00,43,0,0.0,0.0,595.3964666666666,147.48791666666665,0.8237,0.0,447.90854999999993,0.0,0.0,5519.04388888889,5021.367722222224
2025-02-01 07:30:00,44,0,0.0,0.0,579.5366666666666,190.11249999999998,0.7654,0.0,389.4241666666667,0.0,0.0,5021.367722222224,4588.674203703706
2025-02-01 07:40:00,45,0,0.0,0.0,609.0003666666667,231.34661666666665,0.7258,0.0,377.65375,0.0,0.0,4588.674203703706,4169.058925925928
2025-02-01 07:50:00,46,0,0.0,0.0,640.2366833333333,279.07533333333333,0.8697,0.0,361.16134999999997,0.0,0.0,4169.058925925928,3767.768537037039
2025-02-01 08:00:00,47,0,0.0,0.0,633.9416666666666,334.01874999999995,1.0783,0.0,299.92291666666665,0.0,0.0,3767.768537037039,3434.520851851854
2025-02-01 08:10:00,48,0,0.0,0.0,590.91065,388.6844166666666,1.0448,0.0,202.22623333333343,0.0,0.0,3434.520851851854,3209.825037037039
2025-02-01 08:20:00,49,0,0.0,0.0,568.5581666666667,438.7655666666667,0.9667,0.0,129.7926,0.0,0.0,3209.825037037039,3065.611037037039
