date,block_index,time_period,charge_kwh,discharge_kwh,soc_0000_kwh,soc_2400_kwh
2025-02-01,0,0:00-4:00,7293.344166666666,1.5249333333333652,3717.349490203704,4287.498483475305
2025-02-01,1,4:00-8:00,578.1501446296306,6628.931233333333,3717.349490203704,4287.498483475305
2025-02-01,2,8:00-12:00,5737.758823333334,677.7272833333334,3717.349490203704,4287.498483475305
2025-02-01,3,12:00-16:00,3282.80766329218,165.63499711933957,3717.349490203704,4287.498483475305
2025-02-01,4,16:00-20:00,127.01654333333312,5829.633570102881,3717.349490203704,4287.498483475305
2025-02-01,5,20:00-24:00,2804.948012503425,2240.874425377779,3717.349490203704,4287.498483475305
2025-02-02,0,0:00-4:00,6889.36201866941,14.06916666666666,4287.498483475305,5183.813042151806
2025-02-02,1,4:00-8:00,1320.880437962967,1499.622941666666,4287.498483475305,5183.813042151806
2025-02-02,2,8:00-12:00,5951.783061666666,6379.700968333333,4287.498483475305,5183.813042151806
2025-02-02,3,12:00-16:00,4495.125954794241,1373.0949183333332,4287.498483475305,5183.813042151806
2025-02-02,4,16:00-20:00,35.36134979423865,5337.461982730041,4287.498483475305,5183.813042151806
2025-02-02,5,20:00-24:00,3836.8835499999996,2838.177981499999,4287.498483475305,5183.813042151806
2025-02-03,0,0:00-4:00,6043.1726378148605,0.0,5183.813042151806,5134.302134777778
2025-02-03,1,4:00-8:00,1253.8754244032934,1527.6827516666658,5183.813042151806,5134.302134777778
2025-02-03,2,8:00-12:00,5770.6795833333335,6596.173783333333,5183.813042151806,5134.302134777778
2025-02-03,3,12:00-16:00,5344.084978395056,1735.1434283333333,5183.813042151806,5134.302134777778
2025-02-03,4,16:00-20:00,132.0713716666662,5325.407284807446,5183.813042151806,5134.302134777778
2025-02-03,5,20:00-24:00,3700.890928292181,2878.42025685922,5183.813042151806,5134.302134777778
2025-02-04,0,0:00-4:00,5956.42536024691,0.0,5134.302134777778,4820.794488240755
2025-02-04,1,4:00-8:00,1118.885860390947,1406.1814900166646,5134.302134777778,4820.794488240755
2025-02-04,2,8:00-12:00,5894.623676666666,6962.183743333332,5134.302134777778,4820.794488240755
2025-02-04,3,12:00-16:00,5954.046269197539,2295.855339999999,5134.302134777778,4820.794488240755
2025-02-04,4,16:00-20:00,135.95789333333357,5185.367571666666,5134.302134777778,4820.794488240755
2025-02-04,5,20:00-24:00,3678.8476333333333,2850.9859583333327,5134.302134777778,4820.794488240755
2025-02-05,0,0:00-4:00,6004.18056639916,0.0,4820.794488240755,4885.207464862241
2025-02-05,1,4:00-8:00,1613.4928803086393,1594.826364583334,4820.794488240755,4885.207464862241
2025-02-05,2,8:00-12:00,5832.760036666666,7063.398030000001,4820.794488240755,4885.207464862241
2025-02-05,3,12:00-16:00,5810.917202016464,1574.7488666666663,4820.794488240755,4885.207464862241
2025-02-05,4,16:00-20:00,25.768031872428498,5469.081283333333,4820.794488240755,4885.207464862241
2025-02-05,5,20:00-24:00,3676.9469085094856,2840.8669333333332,4820.794488240755,4885.207464862241
2025-02-06,0,0:00-4:00,6061.5032890419525,0.0,4885.207464862241,4749.9950895285765
2025-02-06,1,4:00-8:00,1470.1153760905295,1598.7357537999997,4885.207464862241,4749.9950895285765
2025-02-06,2,8:00-12:00,5909.1797916666665,6231.678559716664,4885.207464862241,4749.9950895285765
2025-02-06,3,12:00-16:00,5077.619683292173,1846.1910983333335,4885.207464862241,4749.9950895285765
2025-02-06,4,16:00-20:00,8.247096707819436,5328.8918089166655,4885.207464862241,4749.9950895285765
2025-02-06,5,20:00-24:00,3510.1326255049985,2966.0001854999996,4885.207464862241,4749.9950895285765
2025-02-07,0,0:00-4:00,6512.628661634915,13.666758333333346,4749.9950895285765,3719.923945074075
2025-02-07,1,4:00-8:00,256.5638417695433,6312.872083333333,4749.9950895285765,3719.923945074075
2025-02-07,2,8:00-12:00,5090.917616666667,1115.3134499999999,4749.9950895285765,3719.923945074075
2025-02-07,3,12:00-16:00,4049.5895232510265,0.0,4749.9950895285765,3719.923945074075
2025-02-07,4,16:00-20:00,60.173528209877865,6050.742559033332,4749.9950895285765,3719.923945074075
2025-02-07,5,20:00-24:00,2466.627399279837,2368.0346416666666,4749.9950895285765,3719.923945074075
2025-02-08,0,0:00-4:00,6590.851325,42.58916666666664,3719.923945074075,4820.993390529261
2025-02-08,1,4:00-8:00,1088.7767350000001,6265.257396666666,3719.923945074075,4820.993390529261
2025-02-08,2,8:00-12:00,6006.262766666666,376.8593166666667,3719.923945074075,4820.993390529261
2025-02-08,3,12:00-16:00,2433.5836541152257,59.146135000000186,3719.923945074075,4820.993390529261
2025-02-08,4,16:00-20:00,38.621825000000115,6232.433805773662,3719.923945074075,4820.993390529261
2025-02-08,5,20:00-24:00,4045.686385596707,2397.8156583333334,3719.923945074075,4820.993390529261
2025-02-09,0,0:00-4:00,5971.740182189714,0.0,4820.993390529261,4663.876692685186
2025-02-09,1,4:00-8:00,1704.2468949999952,2129.700900116668,4820.993390529261,4663.876692685186
2025-02-09,2,8:00-12:00,5264.3532749999995,7009.506823333331,4820.993390529261,4663.876692685186
2025-02-09,3,12:00-16:00,6084.207706666666,2225.134216666666,4820.993390529261,4663.876692685186
2025-02-09,4,16:00-20:00,305.2774933333329,5234.078416316663,4820.993390529261,4663.876692685186
2025-02-09,5,20:00-24:00,3905.8160499999994,2363.8543694000045,4820.993390529261,4663.876692685186
2025-02-10,0,0:00-4:00,6291.810407242791,0.0,4663.876692685186,5392.842081555007
2025-02-10,1,4:00-8:00,1555.0914033539173,1580.1028233333332,4663.876692685186,5392.842081555007
2025-02-10,2,8:00-12:00,5920.288164999999,4980.849873333336,4663.876692685186,5392.842081555007
2025-02-10,3,12:00-16:00,2827.6970489917753,1358.3948166666664,4663.876692685186,5392.842081555007
2025-02-10,4,16:00-20:00,16.303497942386052,5099.328595,4663.876692685186,5392.842081555007
2025-02-10,5,20:00-24:00,3819.3829239500064,2874.019533333333,4663.876692685186,5392.842081555007
2025-02-11,0,0:00-4:00,5403.535442716658,0.9705500000000028,5392.842081555007,4979.2592096296285
2025-02-11,1,4:00-8:00,1614.9392165432112,1895.785622666669,5392.842081555007,4979.2592096296285
2025-02-11,2,8:00-12:00,5903.066103333333,5971.78715,5392.842081555007,4979.2592096296285
2025-02-11,3,12:00-16:00,4248.173824979427,1172.4833666666668,5392.842081555007,4979.2592096296285
2025-02-11,4,16:00-20:00,7.399790123456316,5538.0929258333335,5392.842081555007,4979.2592096296285
2025-02-11,5,20:00-24:00,4015.9476351851845,2959.4852,5392.842081555007,4979.2592096296285
2025-02-12,0,0:00-4:00,6260.374887119337,0.0,4979.2592096296285,4609.613450370372
2025-02-12,1,4:00-8:00,1260.3531094238788,2304.6862429333332,4979.2592096296285,4609.613450370372
2025-02-12,2,8:00-12:00,5847.963603333333,5488.424866666666,4979.2592096296285,4609.613450370372
2025-02-12,3,12:00-16:00,4581.743598868308,1820.191729999999,4979.2592096296285,4609.613450370372
2025-02-12,4,16:00-20:00,39.72384170782118,5344.382889999999,4979.2592096296285,4609.613450370372
2025-02-12,5,20:00-24:00,3676.7823083333324,2925.21794625,4979.2592096296285,4609.613450370372
2025-02-13,0,0:00-4:00,6043.25242343621,0.0,4609.613450370372,5163.896479815741
2025-02-13,1,4:00-8:00,1743.894218703703,2375.9968033333325,4609.613450370372,5163.896479815741
2025-02-13,2,8:00-12:00,5989.0227633333325,4285.605216666666,4609.613450370372,5163.896479815741
2025-02-13,3,12:00-16:00,2285.0651188065804,776.6500499999999,4609.613450370372,5163.896479815741
2025-02-13,4,16:00-20:00,2.877606677983648,5189.362003075834,4609.613450370372,5163.896479815741
2025-02-13,5,20:00-24:00,3763.7188767499993,2934.0743166666666,4609.613450370372,5163.896479815741
