interval_start,interval_end,plan_day,natural_day,step,template_label,schedule,alpha,load_correction,settlement,release_used,load_actual_kw,pv_actual_kw,load_actual_kwh,pv_actual_kwh,q0_kwh,qfinal_kwh,base_plan_cost_yuan,up_adjustment_cost_yuan,down_refund_B_yuan,down_penalty_A_yuan,ordinary_cost_B_yuan,ordinary_cost_A_yuan,actual_emergency_kwh,emergency_cost_yuan,charge_kwh,discharge_kwh,unused_supply_kwh,soc_before_kwh,soc_after_kwh,price_yuan_per_kwh
2025-03-20 00:10:00,2025-03-20 00:20:00,2025-03-20 00:00:00,2025-03-20 00:00:00,0,0:10-0:20,M3,0.6,True,B,0,3299.0689,0.0,549.8448166666667,0.0,850.9099375514377,850.9099375514377,361.46654147185075,0.0,-0.0,0.0,361.46654147185075,361.46654147185075,0.0,0.0,301.065120884771,0.0,0.0,9084.288893953706,9355.24750275,0.4248
2025-03-20 00:20:00,2025-03-20 00:30:00,2025-03-20 00:00:00,2025-03-20 00:00:00,1,0:20-0:30,M3,0.6,True,B,0,3421.881,0.0,570.3135,0.0,1422.3261266666666,1422.3261266666666,603.77744077,0.0,-0.0,0.0,603.77744077,603.77744077,0.0,0.0,833.3333333333333,0.0,18.679293333333362,9355.24750275,10105.24750275,0.4245
2025-03-20 00:30:00,2025-03-20 00:40:00,2025-03-20 00:00:00,2025-03-20 00:00:00,2,0:30-0:40,M3,0.6,True,B,0,3683.11,0.0,613.8516666666667,0.0,591.6916666666667,591.6916666666667,252.59317250000004,0.0,-0.0,0.0,252.59317250000004,252.59317250000004,0.0,0.0,0.0,22.159999999999968,0.0,10105.24750275,10080.625280527778,0.4269
2025-03-20 00:40:00,2025-03-20 00:50:00,2025-03-20 00:00:00,2025-03-20 00:00:00,3,0:40-0:50,M3,0.6,True,B,0,3476.737,0.0,579.4561666666666,0.0,584.8741533333334,584.8741533333334,249.85823830400005,0.0,-0.0,0.0,249.85823830400005,249.85823830400005,0.0,0.0,5.41798666666682,0.0,0.0,10080.625280527778,10085.501468527778,0.4272
2025-03-20 00:50:00,2025-03-20 01:00:00,2025-03-20 00:00:00,2025-03-20 00:00:00,4,0:50-1:00,M3,0.6,True,B,0,3302.6695,0.0,550.4449166666666,0.0,576.5012633333334,576.5012633333334,246.2236895696667,0.0,-0.0,0.0,246.2236895696667,246.2236895696667,0.0,0.0,26.056346666666855,0.0,0.0,10085.501468527778,10108.952180527778,0.4271
2025-03-20 01:00:00,2025-03-20 01:10:00,2025-03-20 00:00:00,2025-03-20 00:00:00,5,1:00-1:10,M3,0.6,True,B,0,3426.94,0.0,571.1566666666666,0.0,574.7318333333334,574.7318333333334,246.27259058333334,0.0,-0.0,0.0,246.27259058333334,246.27259058333334,0.0,0.0,3.575166666666746,0.0,0.0,10108.952180527778,10112.169830527779,0.4285
2025-03-20 01:10:00,2025-03-20 01:20:00,2025-03-20 00:00:00,2025-03-20 00:00:00,6,1:10-1:20,M3,0.6,True,B,0,3609.5343,0.0,601.5890499999999,0.0,574.9274283333333,574.9274283333333,247.85121435449997,0.0,-0.0,0.0,247.85121435449997,247.85121435449997,0.0,0.0,0.0,26.661621666666633,0.0,10112.169830527779,10082.545806453705,0.4311
2025-03-20 01:20:00,2025-03-20 01:30:00,2025-03-20 00:00:00,2025-03-20 00:00:00,7,1:20-1:30,M3,0.6,True,B,0,3668.9025,0.0,611.48375,0.0,570.08188,570.08188,245.249224776,0.0,-0.0,0.0,245.249224776,245.249224776,0.0,0.0,0.0,41.40187000000003,0.0,10082.545806453705,10036.543728675928,0.4302
2025-03-20 01:30:00,2025-03-20 01:40:00,2025-03-20 00:00:00,2025-03-20 00:00:00,8,1:30-1:40,M3,0.6,True,B,0,3589.3,0.0,598.2166666666667,0.0,555.7403333333332,555.7403333333332,237.80128863333326,0.0,-0.0,0.0,237.80128863333326,237.80128863333326,0.0,0.0,0.0,42.476333333333514,0.0,10036.543728675928,9989.347802750002,0.4279
2025-03-20 01:40:00,2025-03-20 01:50:00,2025-03-20 00:00:00,2025-03-20 00:00:00,9,1:40-1:50,M3,0.6,True,B,0,3503.6157,0.0,583.9359499999999,0.0,563.5188566666666,563.5188566666666,242.98933099466663,0.0,-0.0,0.0,242.98933099466663,242.98933099466663,0.0,0.0,0.0,20.417093333333355,0.0,9989.347802750002,9966.662143490743,0.4312
2025-03-20 01:50:00,2025-03-20 02:00:00,2025-03-20 00:00:00,2025-03-20 00:00:00,10,1:50-2:00,M3,0.6,True,B,0,3545.9703,0.0,590.99505,0.0,584.2657983333334,584.2657983333334,253.16237041783336,0.0,-0.0,0.0,253.16237041783336,253.16237041783336,0.0,0.0,0.0,6.7292516666666415,0.0,9966.662143490743,9959.185197194447,0.4333
2025-03-20 02:00:00,2025-03-20 02:10:00,2025-03-20 00:00:00,2025-03-20 00:00:00,11,2:00-2:10,M3,0.6,True,B,0,3590.66,0.0,598.4433333333333,0.0,610.5239999999999,610.5239999999999,263.19689639999996,0.0,-0.0,0.0,263.19689639999996,263.19689639999996,0.0,0.0,12.080666666666616,0.0,0.0,9959.185197194447,9970.057797194448,0.4311
2025-03-20 02:10:00,2025-03-20 02:20:00,2025-03-20 00:00:00,2025-03-20 00:00:00,12,2:10-2:20,M3,0.6,True,B,0,3395.9017,0.0,565.9836166666666,0.0,589.3520266666666,589.3520266666666,253.00882504799998,0.0,-0.0,0.0,253.00882504799998,253.00882504799998,0.0,0.0,23.368409999999926,0.0,0.0,9970.057797194448,9991.089366194448,0.4293
2025-03-20 02:20:00,2025-03-20 02:30:00,2025-03-20 00:00:00,2025-03-20 00:00:00,13,2:20-2:30,M3,0.6,True,B,0,3276.7246,0.0,546.1207666666667,0.0,564.9343633333333,564.9343633333333,244.2776187053333,0.0,-0.0,0.0,244.2776187053333,244.2776187053333,0.0,0.0,18.813596666666626,0.0,0.0,9991.089366194448,10008.021603194447,0.4324
2025-03-20 02:30:00,2025-03-20 02:40:00,2025-03-20 00:00:00,2025-03-20 00:00:00,14,2:30-2:40,M3,0.6,True,B,0,3394.28,0.0,565.7133333333334,0.0,572.7113333333333,572.7113333333333,250.10303926666663,0.0,-0.0,0.0,250.10303926666663,250.10303926666663,0.0,0.0,6.997999999999934,0.0,0.0,10008.021603194447,10014.319803194447,0.4367
2025-03-20 02:40:00,2025-03-20 02:50:00,2025-03-20 00:00:00,2025-03-20 00:00:00,15,2:40-2:50,M3,0.6,True,B,0,3587.5594,0.0,597.9265666666666,0.0,595.7292500000001,595.7292500000001,259.02307790000003,0.0,-0.0,0.0,259.02307790000003,259.02307790000003,0.0,0.0,0.0,2.197316666666552,0.0,10014.319803194447,10011.878340231484,0.4348
2025-03-20 02:50:00,2025-03-20 03:00:00,2025-03-20 00:00:00,2025-03-20 00:00:00,16,2:50-3:00,M3,0.6,True,B,0,3605.7268,0.0,600.9544666666666,0.0,605.0786299999999,605.0786299999999,262.30158610499996,0.0,-0.0,0.0,262.30158610499996,262.30158610499996,0.0,0.0,4.124163333333286,0.0,0.0,10011.878340231484,10015.590087231483,0.4335
2025-03-20 03:00:00,2025-03-20 03:10:00,2025-03-20 00:00:00,2025-03-20 00:00:00,17,3:00-3:10,M3,0.6,True,B,0,3522.79,0.0,587.1316666666667,0.0,597.1486666666665,597.1486666666665,260.17767406666655,0.0,-0.0,0.0,260.17767406666655,260.17767406666655,0.0,0.0,10.016999999999825,0.0,0.0,10015.590087231483,10024.605387231482,0.4357
