interval_start,interval_end,decision_time,plan_day,natural_day,step,template_label,input_time_label,strategy,load_model,pv_model,alpha,terminal_mode,load_actual_kw,pv_actual_kw,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,net_forecast_kwh,residual_margin_kwh,plan_grid_kwh,emergency_grid_kwh,charge_kwh,discharge_kwh,soc_before_kwh,soc_after_kwh,unused_supply_kwh,price_yuan_per_kwh,plan_cost_yuan,emergency_cost_yuan,forecast_source_max_timestamp,residual_source_max_timestamp,residual_history_days
2025-01-01 00:10:00,2025-01-01 00:20:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,0,0:10-0:20,00:10,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3529.7296,0.0,588.2882666666667,0.0,573.3077666666666,0.0,573.3077666666666,0.0,1406.6410999999998,0.0,818.3528333333331,0.0,6000.0,6736.51755,0.0,0.4248,597.5411392799999,0.0,,,0
2025-01-01 00:20:00,2025-01-01 00:30:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,1,0:20-0:30,00:20,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3609.5287,0.0,601.5881166666666,0.0,572.9965333333333,0.0,572.9965333333333,0.0,1406.3298666666665,0.0,804.7417499999999,0.0,6736.51755,7460.785124999999,0.0,0.4245,596.9870283999999,0.0,,,0
2025-01-01 00:30:00,2025-01-01 00:40:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2,0:30-0:40,00:30,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3726.56,0.0,621.0933333333332,0.0,574.0505166666667,0.0,574.0505166666667,0.0,1407.38385,0.0,786.2905166666667,0.0,7460.785124999999,8168.44659,0.0,0.4269,600.812165565,0.0,,,0
2025-01-01 00:40:00,2025-01-01 00:50:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,3,0:40-0:50,00:40,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3510.6311,0.0,585.1051833333333,0.0,575.7406166666666,0.0,575.7406166666666,0.0,1409.07395,0.0,823.9687666666666,0.0,8168.44659,8910.018479999999,0.0,0.4272,601.9563914400001,0.0,,,0
2025-01-01 00:50:00,2025-01-01 01:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,4,0:50-1:00,00:50,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3502.5625,0.0,583.7604166666666,0.0,576.4712166666666,0.0,576.4712166666666,0.0,1409.8045499999998,0.0,826.0441333333332,0.0,8910.018479999999,9653.4582,0.0,0.4271,602.127523305,0.0,,,0
2025-01-01 01:00:00,2025-01-01 01:10:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,5,1:00-1:10,01:00,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3787.01,0.0,631.1683333333333,0.0,576.6400166666666,0.0,576.6400166666666,0.0,576.6400166666666,0.0,0.0,54.52831666666668,9653.4582,9592.871181481481,0.0,0.4285,247.09024714166665,0.0,,,0
2025-01-01 01:10:00,2025-01-01 01:20:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,6,1:10-1:20,01:10,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3900.3205,0.0,650.0534166666666,0.0,577.8597,0.0,577.8597,0.0,577.8597,0.0,0.0,72.19371666666666,9592.871181481481,9512.65594074074,0.0,0.4311,249.11531666999997,0.0,,,0
2025-01-01 01:20:00,2025-01-01 01:30:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,7,1:20-1:30,01:20,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3916.8376,0.0,652.8062666666666,0.0,577.9938666666667,0.0,577.9938666666667,0.0,577.9938666666667,0.0,0.0,74.81239999999991,9512.65594074074,9429.53105185185,0.0,0.4302,248.65296144,0.0,,,0
2025-01-01 01:30:00,2025-01-01 01:40:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,8,1:30-1:40,01:30,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3817.28,0.0,636.2133333333334,0.0,577.82805,0.0,577.82805,0.0,911.1613833333333,0.0,274.94804999999997,0.0,9429.53105185185,9676.984296851851,0.0,0.4279,389.8859559283333,0.0,,,0
2025-01-01 01:40:00,2025-01-01 01:50:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,9,1:40-1:50,01:40,Q2v2_continuous_warmup,same_weekday_2w,recent_5d,0.65,pwl,3533.0136,0.0,588.8356,0.0,580.41545,0.0,580.41545,0.0,580.41545,0.0,0.0,8.420150000000035,9676.984296851851,9667.628574629629,0.0,0.4312,250.27514204,0.0,,,0
