plan_day,total_cash_B_yuan,ordinary_cost_B_yuan,emergency_cost_yuan,emergency_kwh,unused_supply_kwh,qfinal_kwh,start_soc_kwh,end_soc_kwh,asset_adjusted_cost_B_yuan,schedule
2025-02-01,23367.92089616138,23367.92089616138,0.0,0.0,6140.266754355279,44400.718870172146,9152.704917024075,9364.7729506358,23213.829081918597,M0
2025-02-02,57033.63685201072,57033.63685201072,0.0,0.0,8006.03599888889,90438.24634207133,9364.7729506358,9233.066603018518,57129.336659784654,M0
2025-02-03,58862.3614325703,58862.3614325703,0.0,0.0,8855.83149713306,93239.05132545267,9233.066603018518,9168.582155129632,58909.216799673086,M0
2025-02-04,60337.45850082125,60337.45850082125,0.0,0.0,9484.678161755834,94927.30393763374,9168.582155129632,9091.196908444446,60393.68778184141,M0
2025-02-05,56395.34795940032,56333.49136481865,61.85659458166721,10.649323333333427,4110.528090219472,89437.14713206446,9091.196908444446,9174.14911241358,56335.07364371329,M0
2025-02-06,59996.60910318745,59996.60910318745,0.0,0.0,10094.035574554176,94579.78408398491,9174.14911241358,9122.844229944445,60033.888000362764,M0
2025-02-07,22833.895094950734,22809.12353305407,24.771561896665137,5.463511666666329,8920.594116447186,44095.0457840596,9122.844229944445,8797.60499601852,23070.21880090982,M0
2025-02-08,22467.29881190076,19051.35843505917,3415.940376841591,548.6931357666654,2408.2525364060384,37174.486519615915,8797.60499601852,8923.34722531482,22375.93262196063,M0
2025-02-09,55464.36139049061,55464.36139049061,0.0,0.0,4656.383574917702,88330.73926544581,8923.34722531482,8780.290610006177,55568.3084730231,M0
2025-02-10,52737.707723228596,52698.6275182286,39.08020499999911,8.589999999999804,6205.386116680374,84548.7747739849,8780.290610006177,8706.663755666663,52791.2060999945,M0
2025-02-11,54303.63745043977,53525.80264269718,777.8348077425849,138.34074119999784,5801.58057192729,85406.40696389355,8706.663755666663,8775.0461265,54253.9497940567,M0
2025-02-12,54395.39675669505,53016.93175924191,1378.4649974531453,223.14978561111593,5748.258447901232,85023.79429612482,8775.0461265,8744.611996499998,54417.510652065,M0
2025-02-13,49145.865215395985,48957.35224768113,188.51296771486187,41.80682313333227,4815.528625569272,79024.3337966667,8744.611996499998,7671.563785000032,49925.55814159503,M0
2025-02-14,20139.58582743627,17778.059424156472,2361.526403279797,395.6304407555561,3413.6862485185143,34503.0464880659,7671.563785000032,5971.272571259345,21375.04292770846,M0
2025-02-15,23885.158110470136,19383.233792521813,4501.924317948322,864.123232716664,3184.015924444446,37842.27261705752,5971.272571259345,8523.181629240742,22030.902710304985,M0
2025-02-16,53867.557656366,51905.296311287864,1962.2613450781291,329.2658126222231,4094.1108357338903,83581.94803089162,8523.181629240742,8588.793216796297,53819.88329267432,M0
2025-02-17,53495.620871673025,51705.42856375922,1790.1923079138041,273.1914985388874,9143.764311200277,83861.54111956789,8588.793216796297,8571.972316222222,53507.84319034366,M0
2025-02-18,62216.91971727124,45401.31718606609,16815.602531205146,2493.126345800001,173.33203444444428,73856.44337918381,8571.972316222222,8673.221384055558,62143.35062584752,M0
2025-02-19,64463.92449212322,45527.94721786534,18935.97727425788,3009.0701631166785,122.87334944444478,73832.04176712618,8673.221384055558,8398.421747888888,64663.59802975646,M0
2025-02-20,48616.4441819654,46051.552974046564,2564.8912079188344,404.35617926110956,2439.692255781884,74583.47428902598,8398.421747888888,5925.169210462898,50413.54657444719,M0
2025-02-21,20151.810560750462,17121.182676156106,3030.6278845943552,555.9780748666707,5292.857684999997,33573.85268530863,5925.169210462898,5765.6850128826445,20267.69417097524,M0
2025-02-22,22811.84373088744,18727.261257108392,4084.582473779051,837.1510263722164,3438.346642894375,36828.69240985605,5765.6850128826445,8504.464314425926,20821.80560869657,M0
2025-02-23,53422.50355070895,46708.223782240886,6714.279768468064,1307.1764159222253,1765.079866646086,76462.64433703023,8504.464314425926,8551.011893777779,53388.6813813382,M0
2025-02-24,46366.865469758224,45019.08808970822,1347.7773800500088,234.68059575000123,527.6054103840859,72878.24242888202,8551.011893777779,8673.220034240741,46278.06720177573,M0
2025-02-25,47427.43187326487,46406.47580794593,1020.956065318941,202.21643112777264,6374.772092091901,75838.01572038408,8673.220034240741,8503.963517925926,47550.41619686696,M0
2025-02-26,66882.96602900476,42002.658800703386,24880.30722830138,3887.824779811109,116.19218000000058,69013.20870708504,8503.963517925926,8697.090775296296,66742.63686689059,M0
2025-02-27,55248.32168695859,41230.22443547954,14018.09725147905,2269.145105183332,660.4480763168702,66572.41292586416,8697.090775296296,6026.608684740719,57188.73403118763,M0
2025-02-28,19084.676689447577,16833.62321998543,2251.053469462146,518.5997186222207,6752.110916714681,32743.748685096027,6026.608684740719,5957.6132532407255,19134.809804906945,M0
2025-03-01,19167.017727714898,19167.017727714898,0.0,0.0,7838.702818285317,37704.31042504802,5957.6132532407255,8706.838894351848,17169.38913849894,M0
2025-03-02,49821.39023589893,48593.116749571745,1228.2734863271808,218.00356673889246,2469.9493784293486,79066.70470358833,8706.838894351848,8613.12957809259,49889.480830732646,M0
2025-03-03,55960.45725950083,49806.9975326393,6153.459726861525,929.3977756333346,5667.276920246909,80916.02057119341,8613.12957809259,8567.875089944444,55993.33984940659,M0
2025-03-04,53080.0331887354,44352.42305545105,8727.610133284345,1287.1588978000063,437.3961724485557,72397.76862131001,8567.875089944444,8477.809576888889,53145.47614150426,M0
2025-03-05,47031.3012359811,46755.62120038041,275.68003560068695,39.71989400000291,6158.181635637853,76547.61679449731,8477.809576888889,8746.042306648147,46836.39931104708,M0
2025-03-06,42282.14666658125,42180.034921696846,102.11174488440203,18.948147944446625,1273.7678668381277,68291.34390472564,8746.042306648147,5887.295120185184,44359.35525347303,M0
2025-03-07,16728.062407026795,16728.062407026795,0.0,0.0,9302.921979423869,31766.38953631688,5887.295120185184,4578.931682481485,17678.73890631387,M0
2025-03-08,18163.044996564582,18163.044996564582,0.0,0.0,9181.951020658438,35998.501583662546,4578.931682481485,8811.041996006172,15087.930161102842,M0
2025-03-09,45027.28616002955,45021.83130569469,5.4548543348624765,1.1690643666657685,6804.83625019204,74133.18840807956,8811.041996006172,8696.239548037038,45110.70334076064,M0
2025-03-10,50763.40942478254,42711.48396877463,8051.925456007911,1441.0469484086466,78.24296166666682,70860.38293242798,8696.239548037038,8741.81143774074,50730.29620614549,M0
2025-03-11,74384.37441975145,38071.865342009005,36312.50907774244,5499.209053088896,572.6819574279871,62180.65757389574,8741.81143774074,8764.086721722224,74368.18886428124,M0
2025-03-12,44071.912676104585,43783.25330693125,288.6593691733404,41.37892333333434,5742.184667414268,72103.55097185184,8764.086721722224,8647.724057259256,44156.46353354334,M0
2025-03-13,44527.82390360076,41740.2113401226,2787.6125634781574,400.6300727166701,905.4911342249646,67420.49258221533,8647.724057259256,4397.356260333311,47616.2049003641,M0
2025-03-14,16640.01575114259,15576.267412760728,1063.7483383818621,174.0141237333326,11462.261389602196,30523.199997256525,4397.356260333311,4588.09663376542,16501.42093470122,M0
2025-03-15,20344.255590014764,17085.983178553517,3258.2724114612456,687.3057240277774,6698.30744333333,34308.807870205776,4588.09663376542,8522.221423481482,17485.661505935226,M0
2025-03-16,43239.66531361506,41556.676185327815,1682.9891282872516,326.6000694111061,397.63024188614827,68129.41349989711,8522.221423481482,9010.351103129631,42884.98296643752,M0
2025-03-17,42297.33418734832,38042.74614938066,4254.588037967662,673.8482425582965,2385.703569224964,63582.08624065843,9010.351103129631,8908.740828,42371.16573741164,M0
2025-03-18,44035.261449932106,44035.261449932106,0.0,0.0,7661.981942441703,72564.27454982852,8908.740828,8842.582042981481,44083.333415508336,M0
2025-03-19,60301.75273641883,36337.342448479,23964.410287939827,3723.1548769833307,219.43869333333328,59326.48975859396,8842.582042981481,8749.652918425925,60369.276432257764,M0
2025-03-20,45813.63734172735,38272.01261998715,7541.624721740204,1460.466889488886,2447.6430667283935,60982.76014699579,8749.652918425925,2988.938335073988,49999.458968709616,M0
2025-03-21,17990.142052188206,14597.888417775925,3392.253634412281,813.4932636722225,14614.095951447187,28461.662714204413,2988.938335073988,2790.365100833269,18134.42834278603,M0
2025-03-22,18381.298272046504,18381.298272046504,0.0,0.0,11018.175377201645,36674.89991084369,2790.365100833269,9052.559160154316,13831.094135632942,M0
2025-03-23,42233.41396659322,41644.200014124086,589.21395246914,87.01497963333436,6348.011723806582,68645.42158803841,9052.559160154316,8776.5942195,42433.93423194676,M0
2025-03-24,40136.655404616686,38871.35157874823,1265.303825868452,181.3795621944455,3067.8248437242737,64804.2433697325,8776.5942195,8564.189113777777,40290.992140511036,M0
2025-03-25,43979.16230292254,43180.49126358568,798.6710393368571,122.53608196666532,6843.927568511662,71736.13574699587,8564.189113777777,8626.401796203703,43933.957634681625,M0
2025-03-26,41760.353287890524,37280.794660197185,4479.5586276933445,855.396631666669,2544.5243131207185,61403.55516595466,8626.401796203703,8641.453479537038,41749.41650900527,M0
2025-03-27,36873.60581361627,36873.60581361627,0.0,0.0,2650.4505324211195,58989.27630154325,8641.453479537038,2912.429225401279,41036.40077203512,M0
2025-03-28,14739.86073735993,14739.86073735993,0.0,0.0,15297.643417770922,29075.794545761135,2912.429225401279,2961.0680567529666,14704.519032917324,M0
2025-03-29,19352.40657191112,16889.034452600452,2463.3721193106694,409.3283396222194,18188.321608333332,34705.713965665425,2961.0680567529666,8741.327915999998,15152.383054284339,M0
